region_schema,region_parent,region_child,agerange,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-07
admin_0,,mw,,,317,317,317,317,345,345,369,379,517,557,747,795,1005,1073,1111,1135,1153,1180,1256,1282,1282,1373,1373,1639,1667,1667,,1807,1807,1914,,2020,2038,2078,2137,2184,2184,2375,2430,2475,2528,2549,2576,2623,2626,2690,2716,2716,2883,2883,2929,2929,3012,3056,3056,3089,3089,3089,,3147,3500,3516,3533,3533,3551,3551,3599,3624,3624,3720,3724,3731,3738,3762,3762,4000,4010,4026,4040,4040,4050,4077,4095,4110,4116,4206,4206,,4263,4263,4535,4535,4544,4545,4545,4571,4627,4640,4647,4647,4688,4688,4688,4728,4740,4742,4757,4757,4765,4765,5287,5287,5291,5291,5294,5300,5303,5323,5323,5323,5323,5323,5333,5336,5338,5346,5346,5359,5359,5359,5361,,5399,5402,5434,5434,5434,5439,5441,5443,5445,5453,5453,5454,5465,5465,5471,5472,5472
admin_1,mw,mw-ba,,0,,0,0,0,0,6,6,9,11,12,12,12,12,15,15,15,15,15,15,15,24,24,,24,25,,25,25,25,,25,26,26,26,26,26,26,26,26,31,,31,31,31,31,31,31,36,36,36,36,36,36,36,,36,36,36,38,,38,38,38,38,38,38,38,38,41,41,41,41,41,41,42,42,42,44,44,44,45,45,45,45,45,,45,45,45,,45,45,45,45,45,45,45,45,,45,45,45,45,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,45,45,45,45,45,45,45,45,45,,46,46,46,46,46,46,,46
admin_1,mw,mw-bl,,50,,50,50,50,50,50,50,80,80,93,95,111,116,120,124,124,140,145,150,150,150,150,,346,346,,383,383,450,,465,476,476,513,538,538,601,620,630,645,,655,663,663,688,703,703,802,802,802,802,802,802,802,,802,802,802,1036,,1044,1044,1058,1060,1060,1081,1098,1098,1127,1127,1128,1135,1137,1137,1347,1349,1349,1357,1357,1357,1357,1369,1384,1384,1389,,1389,1401,1401,,1671,1676,1676,1676,1701,1751,1761,1764,,1800,1800,1800,1837,,1842,1840,1840,1845,1845,1847,1847,1848,1848,1848,1853,1853,1853,1853,1853,1853,1853,1858,1858,1858,1858,1858,1860,1860,1860,1860,,1861,1861,1874,1874,1874,1875,1876,1878,1878,,1879,1880,1880,1880,1881,1881,,1881
admin_1,mw,mw-ck,,1,,1,1,1,1,1,1,1,1,16,16,16,16,16,17,17,17,17,17,17,23,23,,23,23,,23,23,23,,27,27,27,27,27,27,28,28,28,28,,33,33,33,33,33,33,37,37,41,41,41,41,41,,42,42,42,42,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,,44,44,44,,44,44,44,44,44,44,44,44,,44,44,44,44,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,44,44,44,44,44,44,44,44,44,,44,44,44,44,44,44,,44
admin_1,mw,mw-cr,,0,,0,0,0,0,0,0,0,0,0,9,9,9,9,9,14,14,20,22,22,22,22,,22,14,,14,14,14,,14,14,14,14,14,14,14,14,14,14,,14,14,14,14,14,14,14,14,14,14,14,14,14,,14,14,14,23,,24,24,24,24,24,24,24,24,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,41,42,,42,42,42,,42,42,42,42,42,42,42,42,,42,42,42,42,,42,43,43,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,46,46,35,35,35,35,35,35,35,,35,35,35,35,35,35,,35
admin_1,mw,mw-ct,,0,,0,0,0,0,0,0,26,31,34,36,36,36,36,36,36,36,37,37,37,39,39,,39,38,,40,40,41,,42,42,44,44,44,44,44,45,46,46,,46,48,48,48,49,49,49,49,49,49,49,49,49,,49,49,49,60,,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,61,61,61,,61,61,61,61,61,61,61,61,,61,61,61,61,,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,61,61,61,61,61,61,61,61,61,,61,61,61,61,61,61,,61
admin_1,mw,mw-de,,1,,1,1,1,1,1,1,11,11,11,11,13,13,13,13,13,13,17,18,18,20,20,,24,24,,24,24,24,,25,25,25,25,25,25,25,25,25,27,,27,27,27,27,27,27,28,28,28,28,28,28,28,,28,28,28,28,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,29,29,29,,29,29,29,29,29,30,30,30,,30,30,30,30,,30,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,44,44,50,50,50,50,50,50,50,,50,50,50,50,50,50,,50
admin_1,mw,mw-do,,0,,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,7,9,9,12,12,,14,14,,41,41,42,,42,42,42,42,43,43,46,53,53,56,,56,56,56,56,56,56,56,56,56,56,56,58,58,,58,58,58,61,,61,61,61,61,61,62,63,63,64,64,64,64,65,65,66,66,66,69,69,69,69,69,69,72,72,,72,72,72,,72,72,76,76,76,76,76,76,,76,76,76,76,,81,81,81,81,81,81,81,81,81,81,81,84,84,84,84,84,84,84,86,86,88,88,91,91,91,91,,91,91,91,91,91,91,91,91,91,,91,91,91,91,91,91,,91
admin_1,mw,mw-ks,,0,,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,,9,9,,16,16,19,,19,19,19,19,19,19,21,21,27,27,,27,27,27,27,27,27,37,37,37,37,38,39,39,,39,39,39,38,,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,,38,38,38,,38,38,38,38,38,38,38,38,,38,38,38,38,,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,,38,38,38,38,38,38,38,38,38,,38,38,38,38,38,38,,38
admin_1,mw,mw-li,,87,,87,87,87,87,87,87,87,87,87,87,275,305,307,307,307,307,354,354,354,354,354,,354,354,,357,357,357,,357,357,357,357,357,357,440,441,441,441,,441,441,441,456,456,456,471,471,485,485,538,538,538,,545,545,545,545,,552,568,570,570,570,571,572,572,578,578,578,578,578,578,595,602,602,602,602,605,606,608,608,608,608,,608,608,608,,608,608,609,609,609,609,609,609,,609,609,609,609,,609,609,609,609,609,1132,1132,1132,1132,1132,1132,1132,1152,1152,1152,1152,1152,1157,1158,1160,1161,1161,1161,1161,1161,1162,,1166,1166,1169,1169,1169,1170,1171,1171,1171,,1173,1173,1183,1183,1183,1183,,1183
