region_schema,region_parent,region_child,agerange,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18
admin_0,,mw,,,17672,18313,18313,18442,19477,19856,21078,21550,22462,22565,23479,24141,24606,25055,25153,26222,27283,27597,28051,28204,28204,29462,29462,31236,31376,31376,,34033,34033,35276,,36137,36693,37386,38178,38938,38938,39552,39847,40571,41415,42784,43649,44227,44495,45089,45867,45867,46632,46639,46679,46679,48053,48706,48706,49933,49933,50469,,50469,51558,51799,51814,51814,52357,52357,52817,53095,53095,53678,54041,54388,54524,54608,54608,55180,55753,55753,56584,56584,57030,57576,57885,58009,58291,58687,,,59019,59019,59762,60057,60372,60552,60552,60713,61659,61983,62089,62089,62530,62530,62530,62942,63719,63867,63996,64267,64410,65192,65484,65484,66128,66128,66375,67055,67067,68309,68309,68309,68838,68839,69962,69962,71165,72024,72024,72336,72842,72842,73452,,74902,74908
admin_1,mw,mw-ba,,19,,20,22,22,22,26,32,36,37,37,39,40,40,40,40,42,43,43,43,43,44,44,,44,38,,39,39,40,,41,41,41,42,42,42,42,42,42,42,,44,44,44,45,45,45,45,45,46,46,46,47,47,,47,47,48,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,,49,49,49,49,49,49,49,49,,49,49,49,49,,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,,49,49,
admin_1,mw,mw-bl,,376,,395,436,452,452,489,506,571,596,625,641,666,693,746,781,813,837,855,939,939,992,992,,1,1,,1180,1180,1287,,1318,1321,1353,1372,1408,1408,1444,1448,1462,1469,,1560,1625,1671,1690,1716,1716,1746,1746,1768,1768,1809,1813,1813,,1840,1840,1849,1862,,1863,1869,1877,1881,1881,1886,1895,1895,1900,1904,1904,1909,1911,1911,1915,1917,1917,1921,1921,1925,1931,1931,1938,1939,1941,,1943,1944,1944,,1947,1955,1957,1957,1961,1964,1970,1970,,1970,1975,1975,1979,,1980,1986,1986,1988,1991,1991,1991,1992,1992,1995,1996,1996,1998,1998,1998,2002,2002,2002,2002,2003,2004,2004,2007,2007,2007,2007,,2009,2013,
admin_1,mw,mw-ck,,16,,17,17,17,17,17,17,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,,20,26,,26,26,28,,30,30,35,35,38,38,39,41,41,42,,44,43,43,43,43,43,43,43,43,43,44,44,44,,44,44,44,44,,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,46,46,46,,46,46,46,46,46,46,46,46,,46,46,46,46,,46,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,44,44,
admin_1,mw,mw-cr,,7,,8,8,8,8,9,9,12,12,12,12,13,13,13,13,13,13,14,16,16,17,17,,17,17,,18,18,20,,20,20,20,22,23,23,23,24,24,28,,33,35,35,35,35,35,35,35,35,35,39,39,39,,39,39,44,44,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,47,47,47,47,47,47,47,47,,47,47,47,,47,47,47,47,47,47,47,47,,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,47,47,
admin_1,mw,mw-ct,,28,,36,36,37,37,40,40,41,41,41,44,44,46,46,46,46,46,46,47,47,49,49,,46,46,,49,49,50,,50,50,52,52,52,52,52,52,52,52,,52,52,52,52,63,63,63,63,63,63,63,63,63,,63,63,64,64,,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,,64,64,64,,64,64,64,64,64,64,64,64,,64,64,64,64,,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,,64,64,
admin_1,mw,mw-de,,15,,17,18,18,18,18,18,22,24,24,28,28,28,28,29,32,32,32,32,32,32,32,,32,30,,32,32,32,,33,33,33,34,34,34,34,34,34,34,,39,39,39,48,49,49,49,49,50,50,50,50,50,,50,50,50,50,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,50,50,50,,50,50,50,50,50,50,50,50,,50,50,50,50,,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,52,52,
admin_1,mw,mw-do,,11,,16,16,18,18,20,20,28,33,36,38,43,46,49,51,51,51,53,59,59,62,62,,58,58,,59,59,60,,60,60,60,63,63,63,65,66,66,67,,67,67,67,67,68,68,69,69,69,69,71,71,71,,75,75,73,73,,73,73,73,74,74,74,76,76,77,77,77,77,77,77,77,80,80,80,80,80,80,80,81,81,81,,81,81,81,,82,82,82,82,82,84,84,84,,84,84,84,87,,90,91,91,91,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,95,95,
admin_1,mw,mw-ks,,11,,13,13,13,13,14,17,19,21,21,23,23,23,24,27,29,29,31,35,35,37,37,,39,40,,42,42,43,,43,43,43,43,43,43,45,46,46,46,,46,46,46,46,46,46,46,46,47,47,48,48,48,,48,48,48,48,,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,,49,49,49,49,49,49,49,49,,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,
admin_1,mw,mw-li,,311,,326,374,409,409,425,441,463,486,490,497,533,560,576,600,606,610,671,687,687,726,726,,754,754,,850,850,897,,921,974,996,1020,1041,1041,1060,1064,1086,1094,,1123,1139,1139,1140,1166,1166,1196,1196,1207,1207,1220,1223,1223,,1248,1248,1267,1283,,1283,1297,1297,1297,1297,1298,1309,1309,1314,1315,1327,1327,1327,1327,1333,1333,1333,1338,1338,1338,1339,1339,1348,1349,1349,,1349,1349,1349,,1350,1350,1350,1350,1350,1352,1352,1352,,1353,1353,1353,1353,,1365,1367,1368,1368,1369,1376,1376,1379,1379,1379,1380,1380,1382,1382,1382,1384,1385,1386,1386,1388,1392,1392,1394,1394,1394,1395,,1396,1396,
admin_1,mw,mw-lk,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,,2,2,,3,3,4,,4,4,5,5,5,5,5,5,4,5,,5,5,5,5,5,5,5,5,5,5,4,4,4,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4,4,4,4,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,
admin_1,mw,mw-mc,,9,,19,19,23,23,30,30,33,33,37,38,39,39,39,40,40,41,42,42,42,45,45,,49,49,,50,50,50,,51,51,51,51,51,51,51,52,52,54,,55,55,55,56,58,58,59,59,59,59,59,61,61,,61,61,63,63,,63,63,63,63,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,65,65,65,,65,66,66,66,66,66,66,66,,66,66,66,66,,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,66,66,
admin_1,mw,mw-mg,,61,,66,68,69,69,69,73,80,86,86,90,94,97,99,101,108,111,111,111,111,114,114,,124,124,,126,126,127,,132,132,132,133,133,133,133,133,133,133,,136,140,140,142,142,142,142,142,142,142,142,142,142,,143,143,144,145,,145,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,,146,146,146,,146,148,148,148,148,148,149,149,,149,149,149,149,,149,149,149,149,149,149,149,150,150,150,151,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,,153,155,
admin_1,mw,mw-mh,,26,,28,28,28,28,30,32,40,43,43,46,48,48,49,49,51,51,51,51,51,58,58,,57,57,,58,58,58,,63,63,63,63,63,63,65,65,65,65,,69,66,66,68,68,68,68,68,68,68,69,68,68,,68,68,69,71,,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,73,73,73,73,73,73,73,73,,73,73,73,,73,73,73,73,73,73,73,73,,73,73,73,73,,73,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,,70,70,
admin_1,mw,mw-mu,,9,,9,9,9,9,10,12,15,15,15,17,17,21,21,22,24,24,28,28,28,28,28,,31,31,,32,32,32,,34,34,34,34,35,35,35,35,35,37,,39,40,40,40,40,40,40,40,40,40,40,40,40,,40,40,40,40,,40,40,40,40,40,41,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,43,43,43,,43,43,43,43,43,43,43,43,,43,43,43,43,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,43,43,
admin_1,mw,mw-mw,,175,,176,180,184,184,199,200,200,202,203,203,206,207,209,210,210,212,212,212,212,214,214,,215,193,,214,214,224,,224,225,225,226,227,227,227,227,228,239,,233,233,233,233,233,233,233,233,233,233,233,233,233,,232,232,232,232,,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,,232,232,232,,232,232,232,232,232,232,232,232,,232,232,232,232,,232,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,,231,231,
admin_1,mw,mw-mz,,216,,249,274,322,322,334,361,381,401,419,428,447,469,476,492,501,506,511,535,535,537,537,,537,576,,589,589,595,,601,601,615,621,629,629,635,636,636,636,,647,649,649,655,655,655,669,676,677,677,692,692,692,,698,698,699,699,,699,699,699,699,699,703,703,703,703,703,705,706,706,706,706,706,706,706,706,706,706,706,706,706,709,,709,710,710,,714,714,714,714,714,714,714,719,,719,719,719,720,,720,720,720,720,720,720,720,726,726,727,730,740,742,742,742,742,742,742,742,742,742,742,742,742,742,742,,745,745,
