region_schema,region_parent,region_child,agerange,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30
admin_0,,kr,0-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,7,7,6,8,1,8,1,1,4,2,2,1,1,4,6,2,2,2,2,0,1,2,1,2,1,0,4,3,2,1,2,2,0,0,2,1,1,0,2,0,0,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0,0,1,0,0,1,0,0,0,1,3,2,1,1,0,1,0,1,1,1,3,1,1,0,1,1,0,0,0,2,2,2,1,0,2,0,0,3,2,1,1,1,2,3,3
admin_0,,kr,10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,29,24,35,35,33,21,12,12,7,9,3,3,5,4,2,6,8,5,3,0,8,7,13,8,5,7,5,2,4,3,6,2,5,7,2,4,4,1,5,3,1,3,4,3,4,0,2,3,1,1,1,1,1,0,2,2,0,0,0,0,1,0,0,0,1,0,2,3,1,4,1,11,3,2,1,1,0,6,4,2,1,2,1,1,2,4,6,5,0,2,2,2,0,2,1,6,2,0,2,3,3,1,0,0,1,1,1,2,4,1,1,0,1,3,2,2,3,1,4
admin_0,,kr,20-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,158,152,150,161,95,57,23,25,23,13,13,14,12,17,12,16,7,15,16,21,21,35,35,24,35,35,28,26,26,22,30,27,28,15,15,13,12,7,5,13,10,7,9,5,9,9,3,5,2,3,2,1,3,3,3,5,3,1,5,3,2,2,0,0,2,1,12,19,21,10,13,14,10,8,5,3,5,13,3,8,2,4,3,3,8,15,12,9,9,2,5,5,5,5,2,3,5,3,6,6,11,9,8,5,3,8,10,8,9,5,3,4,3,0,8,14,12,9,10
admin_0,,kr,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,53,28,34,34,33,19,10,15,8,11,10,9,7,7,17,13,7,7,9,8,4,22,12,5,18,15,9,10,15,16,9,14,17,3,6,10,7,4,2,5,2,4,5,1,3,1,1,2,0,1,1,1,1,4,5,2,2,2,1,1,3,1,1,1,1,7,3,3,8,6,5,3,5,2,2,4,0,4,2,4,6,4,3,4,6,26,9,2,7,4,3,6,3,2,6,6,2,2,9,10,8,1,3,5,4,14,4,9,13,10,4,9,15,9,10,10,12,5,6
admin_0,,kr,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,77,57,42,52,34,30,25,52,19,16,16,8,6,17,7,10,12,10,18,7,6,12,6,4,22,14,5,15,11,13,14,8,12,5,7,5,7,2,3,1,1,4,3,2,1,1,0,0,1,4,1,0,2,1,1,1,3,1,2,1,2,3,1,0,0,2,0,4,4,2,2,1,2,1,3,5,0,6,3,2,1,7,2,3,3,14,10,4,4,6,2,5,3,3,11,8,5,4,1,5,1,3,6,11,4,2,6,3,8,5,1,9,11,2,5,6,10,6,8
admin_0,,kr,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,99,76,90,70,62,42,25,56,23,28,28,17,17,17,13,27,14,16,19,11,14,8,14,14,28,18,14,39,14,13,9,11,6,2,3,6,2,3,6,4,2,3,2,3,2,2,1,3,3,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,2,0,3,1,0,1,1,1,1,3,1,0,2,9,4,5,4,6,12,9,10,6,13,9,9,9,7,8,11,6,10,7,9,17,9,7,6,6,7,9,12,12,8,5,9,10,6,4,5,6,5,6
admin_0,,kr,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,49,53,64,67,48,38,13,31,12,13,14,13,12,9,26,21,19,19,14,7,7,8,8,8,31,9,8,17,10,13,8,16,7,5,10,8,2,6,7,3,5,3,1,2,1,1,0,0,0,1,0,1,2,0,0,1,0,0,0,1,2,2,0,1,0,1,0,2,1,0,1,0,2,3,0,1,3,1,0,0,3,3,2,1,8,6,8,4,1,5,11,15,9,10,9,12,11,9,16,5,13,8,8,4,8,3,13,11,13,10,2,7,5,5,6,7,13,12,3
admin_0,,kr,70-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,36,28,52,44,25,29,16,29,14,9,9,10,6,8,3,20,6,21,6,4,9,3,5,14,2,3,5,11,7,5,5,10,3,5,3,3,0,2,0,3,1,2,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,1,0,1,0,1,0,2,3,0,0,1,0,2,5,6,6,7,8,8,3,5,7,5,2,7,1,2,6,5,7,3,3,6,1,4,2,2,1,4,3,1,3
admin_0,,kr,80-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,16,44,23,21,4,6,14,7,10,10,0,7,4,12,35,8,52,11,4,5,5,10,12,4,2,3,5,10,1,3,5,1,3,1,4,3,1,1,0,1,1,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,0,0,1,0,3,2,3,2,3,5,1,1,1,10,1,1,0,1,8,1,3,3,0,1,2,0,2,2,1,0,0
admin_1,kr,kr-11,,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,6,2,5,3,1,4,6,8,7,6,15,10,4,7,1,4,2,3,12,10,11,52,19,13,13,9,6,12,5,12,17,15,10,6,4,13,13,12,18,20,16,24,24,14,18,22,24,11,4,11,12,5,4,3,8,2,5,2,2,1,2,0,2,2,0,0,1,0,0,4,0,0,1,1,2,0,0,0,0,0,12,14,20,12,12,4,14,5,5,1,6,10,4,2,4,6,6,9,19,24,20,9,6,1,14,19,14,15,23,27,22,19,12,21,25,28,12,7,12,13,25,18,14,17,5,6,11,9,17,17,14,7,7
