region_schema,region_parent,region_child,agerange,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30
admin_0,,kr,0-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,34,34,38,45,52,58,66,67,75,76,77,81,83,85,86,87,91,97,99,101,103,105,105,106,108,109,111,112,112,116,119,121,122,124,126,126,126,128,129,130,130,132,132,132,135,136,138,138,138,138,138,138,138,139,140,140,140,140,140,140,140,140,140,140,140,140,141,141,141,141,142,143,143,145,147,147,147,148,148,148,149,149,149,149,150,153,155,156,157,157,158,158,159,160,161,164,165,166,166,167,168,168,168,168,170,172,174,175,175,177,177,177,180,182,183,184,185,187,190,193
admin_0,,kr,10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,204,233,257,292,327,360,381,393,405,412,421,424,427,432,436,438,444,452,457,460,460,468,475,488,496,501,508,513,515,519,522,528,530,535,542,544,548,552,553,558,561,562,565,569,572,576,576,578,581,582,583,584,585,586,586,588,590,590,590,590,590,591,591,591,591,592,592,594,597,598,602,603,614,617,619,620,621,621,627,631,633,634,636,637,638,640,644,650,655,655,657,659,661,661,663,664,670,672,672,674,677,680,681,681,681,682,683,684,686,690,691,692,692,693,696,698,700,703,704,708
admin_0,,kr,20-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,1417,1575,1727,1877,2038,2133,2190,2213,2238,2261,2274,2287,2301,2313,2330,2342,2358,2365,2380,2396,2417,2438,2473,2508,2532,2567,2602,2630,2656,2682,2704,2734,2761,2789,2804,2819,2832,2844,2851,2856,2869,2879,2886,2895,2900,2909,2918,2921,2926,2928,2931,2933,2934,2937,2940,2943,2948,2951,2952,2957,2960,2962,2964,2964,2964,2966,2967,2979,2998,3019,3029,3042,3056,3066,3074,3079,3082,3087,3100,3103,3111,3113,3117,3120,3123,3131,3146,3158,3167,3176,3178,3183,3188,3193,3198,3200,3203,3208,3211,3217,3223,3234,3243,3251,3256,3259,3267,3277,3285,3294,3299,3302,3306,3309,3309,3317,3331,3343,3352,3362
admin_0,,kr,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,578,631,659,693,727,760,779,789,804,812,823,833,842,849,856,873,886,893,900,909,917,921,943,955,960,978,993,1002,1012,1027,1043,1052,1066,1083,1086,1092,1102,1109,1113,1115,1120,1122,1126,1131,1132,1135,1136,1137,1139,1139,1140,1141,1142,1143,1147,1152,1154,1156,1158,1159,1160,1163,1164,1165,1166,1167,1174,1177,1180,1188,1194,1199,1202,1207,1209,1211,1215,1215,1219,1221,1225,1231,1235,1238,1242,1248,1274,1283,1285,1292,1296,1299,1305,1308,1310,1316,1322,1324,1326,1335,1345,1353,1354,1357,1362,1366,1380,1384,1393,1406,1416,1420,1429,1444,1453,1463,1473,1485,1490,1496
admin_0,,kr,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,713,790,847,889,941,975,1005,1030,1082,1101,1117,1133,1141,1147,1164,1171,1181,1193,1203,1221,1228,1234,1246,1252,1256,1278,1292,1297,1312,1323,1336,1350,1358,1370,1375,1382,1387,1394,1396,1399,1400,1401,1405,1408,1410,1411,1412,1412,1412,1413,1417,1418,1418,1420,1421,1422,1423,1426,1427,1429,1430,1432,1435,1436,1436,1436,1438,1438,1442,1446,1448,1450,1451,1453,1454,1457,1462,1462,1468,1471,1473,1474,1481,1483,1486,1489,1503,1513,1517,1521,1527,1529,1534,1537,1540,1551,1559,1564,1568,1569,1574,1575,1578,1584,1595,1599,1601,1607,1610,1618,1623,1624,1633,1644,1646,1651,1657,1667,1673,1681
admin_0,,kr,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,952,1051,1127,1217,1287,1349,1391,1416,1472,1495,1523,1551,1568,1585,1602,1615,1642,1656,1672,1691,1702,1716,1724,1738,1752,1780,1798,1812,1851,1865,1878,1887,1898,1904,1906,1909,1915,1917,1920,1926,1930,1932,1935,1937,1940,1942,1944,1945,1948,1951,1951,1952,1953,1953,1953,1953,1955,1956,1956,1956,1956,1956,1956,1957,1957,1957,1957,1958,1960,1960,1963,1964,1964,1965,1966,1967,1968,1971,1972,1972,1974,1983,1987,1992,1996,2002,2014,2023,2033,2039,2052,2061,2070,2079,2086,2094,2105,2111,2121,2128,2137,2154,2163,2170,2176,2182,2189,2198,2210,2222,2230,2235,2244,2254,2260,2264,2269,2275,2280,2286
admin_0,,kr,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,597,646,699,763,830,878,916,929,960,972,985,999,1012,1024,1033,1059,1080,1099,1118,1132,1139,1146,1154,1162,1170,1201,1210,1218,1235,1245,1258,1266,1282,1289,1294,1304,1312,1314,1320,1327,1330,1335,1338,1339,1341,1342,1343,1343,1343,1343,1344,1344,1345,1347,1347,1347,1348,1348,1348,1348,1349,1351,1353,1353,1354,1354,1355,1355,1357,1358,1358,1359,1359,1361,1364,1364,1365,1368,1369,1369,1369,1372,1375,1377,1378,1386,1392,1400,1404,1405,1410,1421,1436,1445,1455,1464,1476,1487,1496,1512,1517,1530,1538,1546,1550,1558,1561,1574,1585,1598,1608,1610,1617,1622,1627,1633,1640,1653,1665,1668
admin_0,,kr,70-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,224,260,288,340,384,409,438,454,483,497,506,515,525,531,539,542,562,568,589,595,599,608,611,616,630,632,635,640,651,658,663,668,678,681,686,689,692,692,694,694,697,698,700,702,703,704,705,705,705,706,707,708,708,708,708,708,709,709,709,709,709,710,710,710,710,710,710,710,711,711,711,712,712,714,714,715,715,716,717,717,718,718,719,719,721,724,724,724,725,725,727,732,738,744,751,759,767,770,775,782,787,789,796,797,799,805,810,817,820,823,829,830,834,836,838,839,843,846,847,850
admin_0,,kr,80-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,93,108,124,168,191,212,216,222,236,243,253,263,263,270,274,286,321,329,381,392,396,401,406,416,428,432,434,437,442,452,453,456,461,462,465,466,470,473,474,475,475,476,477,478,480,480,481,482,482,483,483,484,485,485,485,485,485,485,485,486,486,488,488,488,488,488,488,488,488,488,489,490,490,490,490,490,490,490,490,490,490,491,491,491,491,492,492,495,498,498,498,499,499,502,504,507,509,512,517,518,519,520,530,531,532,532,533,541,542,545,548,548,549,551,551,553,555,556,556,556
admin_1,kr,kr-11,,0,0,0,0,0,0,0,1,1,1,3,4,4,5,5,5,5,10,11,11,14,14,14,14,14,14,14,14,14,14,20,22,27,30,31,35,41,49,56,62,77,87,91,98,99,103,105,108,120,130,141,193,212,225,238,247,253,265,270,282,299,314,324,330,334,347,360,372,390,410,426,450,474,488,506,528,552,563,567,578,590,595,599,602,610,612,617,619,621,622,624,624,626,628,628,628,629,629,629,633,633,633,634,635,637,637,637,637,637,637,649,663,683,695,707,711,725,730,735,736,742,752,756,758,762,768,774,783,802,826,846,855,861,862,876,895,909,924,947,974,996,1015,1027,1048,1073,1101,1113,1120,1132,1145,1170,1188,1202,1219,1224,1230,1241,1250,1267,1284,1298,1305,1312
