month,seek
2020-01,62
2020-02,1382
2020-03,28541
2020-04,230676
2020-05,455245
2020-06,689659
2020-07,917097
2020-08,1152317
2020-09,1387878
2020-10,1616523
2020-11,1854494
2020-12,2086202
2021-01,2327019
2021-02,2569704
2021-03,2789481
2021-04,3032918
2021-05,3268564
2021-06,3512084
2021-07,3747814
2021-08,3991799
2021-09,4236126
2021-10,4473099
2021-11,4718326
2021-12,4956003
2022-01,5201916
2022-02,5448403
