region_schema,region_parent,region_child,agerange,2020-07-18,2020-07-19,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
lt_municipality,lt,alytaus,,0,0,-7,0,0,7,0,20,-6,26,-27,1,6,0,20,-27,27,-20,-6,0,-1,0,0,0,27,0,-27,0,0,0,27,0
lt_municipality,lt,anykščių,,1,-6,6,-7,0,8,0,0,-8,8,0,0,0,-8,8,0,-8,0,8,-8,8,-8,8,-8,0,8,-8,8,-8,0,8,0
lt_municipality,lt,birštono,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lt_municipality,lt,druskininkų,,0,1,1,-1,1,-1,1,0,0,0,0,0,1,-1,0,0,0,1,0,-1,1,-1,0,1,0,-1,0,1,0,-1,1,-1
lt_municipality,lt,elektrėnų,,0,0,0,0,0,0,0,0,-1,1,-1,0,0,1,-1,0,0,0,-1,0,0,1,0,0,0,0,0,0,2,0,0,0
lt_municipality,lt,ignalinos,,0,0,0,-4,0,0,4,0,-2,2,7,-7,0,0,14,0,-14,0,14,-14,14,0,-12,10,-8,0,6,-6,6,-5,4,-4
lt_municipality,lt,jonavos,,-12,0,0,0,-11,11,-11,11,-11,0,0,11,0,0,-9,-8,8,0,0,-7,0,0,7,0,0,0,0,-6,6,0,0,0
lt_municipality,lt,jurbarko,,-2,2,0,0,2,-2,0,2,2,-2,2,-2,0,2,-1,1,-1,0,1,0,0,-1,1,0,0,-1,0,1,0,0,-1,1
lt_municipality,lt,kaišiadorių,,3,-3,0,0,-3,3,-3,3,0,-3,0,0,3,0,0,-3,1,0,0,0,2,0,0,-1,3,-2,2,0,-2,2,0,-1
lt_municipality,lt,kalvarijos,,0,0,0,4,0,-4,0,0,-4,4,0,0,0,0,-4,0,0,0,0,4,-4,4,-4,0,4,-4,0,4,-4,0,4,0
lt_municipality,lt,kauno,,20,-20,73,-99,43,0,-24,80,-93,93,-34,-47,51,32,0,-79,1,1,1,128,-113,131,-128,60,79,6,-167,0,0,0,182,-89
lt_municipality,lt,kazlų rūdos,,0,0,0,3,-3,3,0,0,3,-3,3,-3,3,0,-3,0,0,0,0,-3,3,0,-3,1,0,2,-3,3,-3,3,-3,0
lt_municipality,lt,kelmės,,2,-2,2,0,0,-2,2,0,-2,0,0,2,-2,1,1,0,0,1,0,-1,0,0,0,0,0,-1,0,3,-3,3,-3,3
lt_municipality,lt,kupiškio,,0,-1,0,0,0,-1,0,1,2,-2,0,3,0,-3,3,3,0,-3,0,0,0,0,2,1,0,0,0,0,0,0,0,2
lt_municipality,lt,kėdainių,,1,0,-4,0,5,-5,5,0,-5,5,0,-5,5,-5,0,0,0,-6,0,5,-4,0,0,4,-6,1,7,0,-6,0,0,6
lt_municipality,lt,lazdijų,,5,-5,1,4,-4,0,0,4,0,0,0,-4,0,4,-5,-6,0,6,-6,6,0,0,0,0,0,-6,0,0,6,-6,0,6
lt_municipality,lt,marijampolės,,-65,65,0,0,67,-67,67,0,-64,0,64,-64,0,66,-68,68,-68,0,0,0,0,0,0,68,0,-68,0,0,0,0,69,-67
lt_municipality,lt,molėtų,,-1,1,0,0,0,5,-1,0,0,0,3,-3,3,0,0,0,1,-1,1,0,0,-1,3,-3,0,5,-5,7,-7,7,0,6
lt_municipality,lt,panevėžio,,0,20,-13,13,0,0,0,-18,8,2,2,4,1,2,1,19,-35,-1,24,10,-10,-23,0,2,20,-21,40,-37,-3,0,4,0
lt_municipality,lt,prienų,,0,0,-5,0,0,5,0,-5,0,3,0,0,0,3,-3,0,0,0,11,1,-12,12,0,1,0,-13,12,-10,0,0,8,-3
lt_municipality,lt,radviliškio,,6,0,-7,7,-7,0,7,-7,7,0,-7,1,6,0,0,-6,6,-6,6,0,0,-6,6,-6,0,6,0,0,0,0,1,-8
lt_municipality,lt,raseinių,,-4,0,-4,0,4,0,0,0,-3,0,0,3,0,0,0,3,0,-3,0,0,3,0,0,0,-3,0,0,3,0,0,0,-3
lt_municipality,lt,rokiškio,,-2,0,-2,2,-2,0,2,-2,0,0,0,0,0,-2,0,0,3,0,-3,0,3,0,1,-5,0,5,-5,0,0,0,5,0
lt_municipality,lt,tauragės,,9,-8,8,0,-8,1,0,7,7,-7,7,-7,7,0,-7,0,0,0,0,-5,5,-5,-1,7,-5,5,-4,4,0,-3,0,0
lt_municipality,lt,telšių,,0,0,0,-7,0,7,-7,7,-7,0,7,-7,0,0,7,7,-7,7,-7,7,0,0,0,-7,0,7,-7,0,0,0,7,0
lt_municipality,lt,trakų,,0,-3,2,-1,0,-4,0,4,0,1,-1,1,0,0,0,3,0,0,0,-3,4,-4,0,9,-9,8,1,-6,0,7,1,0
lt_municipality,lt,ukmergės,,0,-70,70,0,-70,0,70,-70,70,0,-70,0,0,70,0,-70,70,0,-68,0,0,68,0,-68,68,-67,0,0,0,0,67,0
lt_municipality,lt,utenos,,0,4,0,4,0,-4,4,-4,8,-8,0,0,8,0,-8,0,0,-8,8,0,-8,0,8,-8,0,0,0,8,0,0,0,0
lt_municipality,lt,varėnos,,0,0,0,0,1,-1,0,1,1,-1,0,0,0,0,1,-1,0,0,1,-1,0,1,-1,1,0,0,-1,1,0,-1,1,-1
lt_municipality,lt,vilkaviškio,,0,0,-4,4,-4,0,0,0,-4,0,4,0,0,1,0,0,0,0,0,0,0,6,-6,0,6,-6,6,0,-6,0,0,6
lt_municipality,lt,vilniaus,,347,0,-117,118,-110,109,-210,0,-223,110,113,1,-224,370,-146,0,-123,138,3,235,-223,223,-145,1,-232,232,-231,226,24,-249,1,387
lt_municipality,lt,visagino,,-2,2,0,1,0,-3,0,0,-3,0,3,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2
lt_municipality,lt,zarasų,,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,0,0,2,-1,1,0,-1,0,0,0,1,1,-1,0,1,-1
lt_municipality,lt,šakių,,-1,0,2,-2,0,2,-2,2,-2,2,0,0,0,0,-2,0,-4,0,4,1,0,-6,2,4,0,0,-4,0,0,4,-3,3
lt_municipality,lt,šalčininkų,,0,-10,-2,1,0,12,0,-10,0,-7,7,-5,5,0,-4,6,-6,7,-8,10,-11,0,-1,-2,18,-18,0,0,18,-18,0,1
