region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
lt_municipality,lt,alytaus,,0,1,0,0,0,27,7,0,0,27,0,7,7,0,1,27,27,0,7,27,7,1,27,27,1,0,1,0,1,7,0,7,7,7,7,27
lt_municipality,lt,anykščių,,6,1,1,7,1,8,0,8,0,0,8,8,0,8,0,0,8,0,8,8,8,0,8,0,0,8,8,8,0,0,8,0,8,0,8,0
lt_municipality,lt,birštono,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lt_municipality,lt,druskininkų,,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0
lt_municipality,lt,elektrėnų,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,7
lt_municipality,lt,ignalinos,,5,5,1,5,1,5,1,1,1,5,3,5,11,5,12,5,15,5,19,5,19,19,19,19,19,5,17,7,9,15,9,15,9,10,10,14
lt_municipality,lt,jonavos,,13,1,1,13,2,2,13,13,13,2,13,2,13,2,13,13,13,13,5,5,5,13,5,6,13,13,6,13,13,7,13,7,13,7,13,13
lt_municipality,lt,jurbarko,,0,2,2,0,2,0,0,2,0,0,2,2,0,0,2,0,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2
lt_municipality,lt,kaišiadorių,,0,0,3,3,3,3,0,0,0,0,3,0,3,0,3,0,0,0,3,0,3,3,3,1,3,3,2,2,5,5,5,3,5,3,3,4
lt_municipality,lt,kalvarijos,,4,4,0,0,0,0,0,4,0,0,4,0,0,0,4,0,4,4,4,0,0,4,4,0,0,0,0,0,4,0,0,4,4,4,4,0
lt_municipality,lt,kauno,,101,26,26,28,28,2,101,101,6,101,59,21,102,10,71,12,14,21,24,130,26,142,104,156,165,174,177,49,106,57,24,109,24,205,62,60
lt_municipality,lt,kazlų rūdos,,3,0,3,0,0,3,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,0,3,0,3,0,0,1,3,3,0,3,3,0,3,3
lt_municipality,lt,kelmės,,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,2,1,1,1,2,2,1,1,2,1,2,1,1,1,0,3,0,3,3,3,3
lt_municipality,lt,kupiškio,,1,0,0,1,0,0,0,0,0,1,1,2,2,2,3,0,3,3,0,0,0,0,4,4,5,0,2,3,3,3,3,3,3,3,3,5
lt_municipality,lt,kėdainių,,2,3,3,3,7,3,8,3,3,3,8,8,3,3,3,3,8,8,9,9,9,9,3,4,8,4,4,4,2,10,3,4,10,10,10,4
