region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29
ps_province,ps,ps-bth,,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,62,63,63,65,64,64,76,76,87,97,116,149,152,179,185,232,239,266,297,308,316,324,347,367,385,393,404,433,451,452,503,503,517,518,541,553,561,576,587,595,599,604,619
ps_province,ps,ps-gza,,61,61,61,66,70,70,70,70,70,70,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,74,75,75,75,76,76,75,75
ps_province,ps,ps-hbn,,79,79,79,79,79,79,79,87,88,95,95,97,99,99,102,114,118,155,198,284,356,402,553,717,845,886,980,1036,1358,1491,1699,1947,2228,2434,2846,3031,3283,3561,3878,4029,4292,4620,4786,4980,5138,5188,5370,5689,5886,6214,6349,6468,6622,6789,6895,6959,6999,7024,7204
ps_province,ps,ps-jem,,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,153,153,155,159,163,169,172,172,183,191,231,231,260,268,281,281,296,299,354,387,400,462,494,494,553,554,664,728,728,784,883,933,990,1051,1109
ps_province,ps,ps-jen,,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,12,13,14,14,15,15,15,15,15,15,15,15,15,16,16,17,20,21,22,26,69,74,75,76,76,78,79,80,94,107,122
ps_province,ps,ps-jrh,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,8,11,11,13,13,13,13,13,15,23,23,23,25,36,36,67,71,77,99,99,122,155,155,165,209,241,252,253,269
ps_province,ps,ps-nbs,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,28,33,35,38,40,43,44,49,64,98,120,132,149,163,171,187,197,199,201,207,210,216,221,228,232,236,240,244,251,256,260,266,285,291,339,385,419,439,455,462
ps_province,ps,ps-qqa,,14,14,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,19,22,23,23,23,23,23,23,23,24,24,27,38,38,46,52,54,112,116,134,138,138,143,153,157,163,182,188
ps_province,ps,ps-rbh,,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,79,82,81,83,83,83,85,86,86,88,94,96,97,100,105,116,120,122,123,123,128,134,149,157,183,218,267,318,319,454,498,503,533,534,573,622,622,654,681,686,689,696,709
ps_province,ps,ps-slt,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,13,17,21,21,22,21,23,23,29,29,30,30,31,31
ps_province,ps,ps-tbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,24,29,39,39,43,45,45,48,48,48,48,49,52
ps_province,ps,ps-tkm,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,9,10,10,11,11,11,12,13,17,18,18,19,21,23,27,33,34,36,36,42,43,44,45,45,45,47,47,54,61,62,64,69,82,90,94,98
