region_schema,region_parent,region_child,agerange,2020-05-08,2020-05-10,2020-05-15,2020-05-16,2020-05-17,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20
admin_1,au,au-vic,,,-3,-7,-2,7,1,-7,-10,3,-8,-2,-7,9,2,19,11,10,19,11,4,6,10,22,20,21,27,57,33,49,45,27,67,34,102,72,240,77,235,128,197,-1734,11,2432,76,-2467,2962,-2879,3205,-3112,-62,189,26,4064,-3888,79,4889,403,167,217,521,222,-5922,6281,-6083,110,50,82,106,135,5667,-204,-197,-200,-119,-4592,1858,-1766,38,1038,-3657,3414,-3417,-6,-6,-4,-5,2469,-2479,-2,0,1918,-84,-1856,1680,-74,-139,-1450,-5,-2,1049,-1053,-2,927,-27,-908,731,-86,-649,-3,527,-530,0,397,-399,0,305,-305,261,-261,241,-14,-11,-10,-203,192,-190,184,-184,0,0,170,-171,0,0,132,-14,3480,2,-27,3,1,-3490,3490,-3501,3493,-3493,-9,-10,-12,3525,-3544,-30,15,3559,-3574,3574,-3570,3570,-3571,3571,0,-3571,3571,-3571,3570,0,-3571
lga,au-vic,alpine,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,0,0,0,,,,,0,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,ararat,,0,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,0,0,0,,,,,0,,,0,0,0,0,0,0,0,,,,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,-1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,ballarat,,0,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,0,0,0,0,0,1,,,0,1,,,1,0,0,,,,,0,,,0,0,1,1,3,-1,3,,,,2,2,1,1,1,1,-4,-2,-4,-5,-9,1,1,0,0,0,,,0,0,-1,0,-1,-1,-1,0,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,banyule,,1,,,,,,,,,,0,-1,-1,,,,1,,,,,,,,0,,,,,1,,,,,2,5,10,10,12,16,,,14,-2,,,-5,-1,8,,,,,0,,,-3,-7,-3,15,0,-1,-7,,,,-3,1,1,-2,-5,-5,-1,1,-61,-1,4,-6,0,-3,-5,-7,,,0,-2,-4,-3,-3,-3,-3,-1,,,-3,-1,0,0,-2,-1,-1,4,0,0,0,0,-1,1,0,-1,-4,0,0,0,-1,0,0,0,0,0,-1,0,1,,,,,3,,,,-1,0,,,-2,-1,,,,3,-2,,,,,-1,0,-4,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,bass coast,,0,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,0,0,0,2,0,0,,,0,0,,,0,0,0,,,,,1,,,-1,0,-1,1,0,0,0,,,,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,baw baw,,0,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,0,1,1,1,0,0,,,0,0,,,-1,0,0,,,,,0,,,0,1,0,2,0,0,0,,,,0,0,1,-1,1,0,0,0,-3,0,0,-2,0,0,-1,1,,,0,0,0,0,0,0,0,0,,,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,bayside,,1,,,,,,,,,,0,0,1,,,,0,,,,,,,,-1,,,,,1,,,,,1,1,-1,1,-1,1,,,2,5,,,2,5,3,,,,,6,,,2,0,39,13,2,5,4,,,,2,-2,-9,2,7,-3,-1,-1,-13,-3,-8,1,-3,1,9,-11,,,1,-6,-1,3,-2,-2,-2,-2,,,-4,1,-21,-1,-4,-6,0,-1,-1,-2,-2,0,1,-5,-2,-3,-1,-4,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,1,,,0,0,,,,0,0,,,,,0,0,-1,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,benalla,,0,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,0,0,0,,,,,0,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
lga,au-vic,boroondara,,0,,,,,,,,,,-1,0,0,,,,1,,,,,,,,-1,,,,,0,,,,,1,3,0,5,0,3,,,3,3,,,3,1,2,,,,,4,,,1,8,1,1,-2,0,-4,,,,-1,1,0,7,2,7,3,-1,-33,-3,-1,-2,-5,-1,-2,-6,,,-6,-4,-1,1,0,-5,-1,-4,,,1,-1,0,-3,-2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,,,,,0,,,,0,0,,,0,0,,,,0,0,,,,,-2,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
