region_schema,region_parent,region_child,agerange,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-12,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-20,2020-05-31,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08
admin_1,au,au-vic,,,,121,118,114,119,112,110,117,,,70,71,64,54,57,49,47,40,49,51,70,81,91,110,121,125,131,141,163,183,204,231,288,321,370,415,442,509,543,645,860,932,1172,1249,1484,1803,1931,388,394,405,2837,429,446,3408,3630,601,622,560,749,775,884,951,1030,1075,6322,6489,1242,1285,7449,7637,7808,1725,1835,7880,7877,2073,7877,7875,7671,2376,2414,7155,4864,2607,4293,4012,3731,74,3488,71,65,2983,2830,2620,2519,40,38,38,21,19,16,16,30,1483,1336,1251,26,1075,1040,991,16,920,834,12,10,620,554,532,2,444,0,359,326,305,289,0,0,241,0,216,206,3,4,5,5,5,5,5,5,4,4,4,4,0,3602,3604,3577,98,3581,3580,3581,3582,3573,3573,71,3574,3574,3574,30,20,15,8,0
lga,au-vic,alpine,,,,,,,,,,,,,,,,1,,1,1,1,1,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,ararat,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,1,1,,1,1,1,1,1,1,1,1,,,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,ballarat,,1,1,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,1,,8,8,9,,10,11,11,11,,,,10,10,,11,11,11,12,13,16,15,18,,,20,22,24,25,26,27,28,24,22,18,13,4,5,6,6,6,6,,6,6,6,5,5,4,3,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,banyule,,4,5,,,,,,,,1,1,,,,2,,3,3,2,1,,,0,1,,,,,,,0,0,,,,3,4,,3,,,11,13,18,28,38,51,63,79,,110,124,122,,145,140,139,147,,,,144,144,,146,143,136,133,148,148,147,140,,,130,127,128,129,127,122,117,116,117,56,55,59,53,53,50,45,38,,30,30,28,24,21,18,15,12,11,,11,8,7,7,7,5,4,3,7,7,7,7,7,6,7,7,6,2,2,2,2,1,1,1,1,1,1,0,0,1,,1,,6,9,,,13,12,12,,8,6,5,,,5,8,6,,6,,6,5,5,1,1,1,1,1,1,
lga,au-vic,bass coast,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,2,3,3,3,,2,2,2,,1,1,1,1,,,,2,3,,5,4,4,3,4,4,4,4,,,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,baw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,baw baw,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,1,2,3,3,3,3,,3,3,3,,4,3,3,3,,,,3,3,,3,3,4,4,6,6,6,6,,,5,5,5,6,5,6,6,6,6,3,3,3,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,bayside,,0,1,,,,,,,,,0,,,,0,,0,0,0,1,,,1,1,,,,,,,2,1,,,,1,2,,2,,,2,3,4,3,4,5,4,5,,7,9,14,,16,18,23,26,,,,31,37,,44,46,46,85,98,100,105,109,,,110,112,110,101,103,110,107,106,105,92,89,81,82,79,80,89,78,,71,72,66,65,68,66,64,62,60,,56,52,53,32,31,27,21,21,20,19,17,15,15,16,11,9,6,5,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,1,,,1,1,2,,1,1,1,,,1,1,1,,1,,1,1,1,0,0,0,0,0,0,
lga,au-vic,benalla,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
