region_schema,region_parent,region_child,agerange,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21
admin_1,ma,ma-01,,43,43,124,84,55,71,36,75,28,86,57,92,48,183,0,115,118,208,455,138,113,47,167,259,260,329,182,181,179,321,111,292,132,144,104,138,172,146,131,155,144,95,105,0,232,113,112,77,0,114,0,184,81,112,87,89,0,169,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-02,,11,15,0,1,7,14,19,3,2,15,11,21,5,4,0,14,4,23,3,9,5,8,7,34,-1,13,10,12,16,13,12,24,21,6,7,16,13,34,27,39,34,19,22,0,55,38,34,12,0,71,0,99,21,24,26,16,0,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-03,,41,21,31,25,51,37,59,2,66,72,58,76,62,64,0,68,31,81,102,132,99,160,206,229,296,209,147,224,165,201,202,196,196,170,113,164,113,174,196,162,225,212,124,0,410,259,279,231,0,279,0,304,159,120,138,131,0,287,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-04,,5,7,3,5,2,22,8,13,9,10,1,8,3,5,0,7,6,25,14,45,25,36,35,94,42,80,34,53,69,135,74,81,101,69,40,63,167,173,112,68,148,81,136,0,276,134,129,104,0,199,0,215,116,136,128,108,0,246,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-05,,8,2,-1,2,1,3,1,0,7,0,0,1,-1,2,0,6,2,-2,4,7,8,5,15,9,30,5,26,21,21,22,32,17,40,28,77,46,97,57,57,181,227,118,190,0,235,90,125,122,0,241,0,138,91,50,65,96,0,173,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-06,,47,50,42,61,43,22,0,36,16,52,22,75,76,49,0,111,83,206,185,221,211,165,286,265,342,40,80,88,421,251,382,310,430,413,293,392,498,392,399,801,222,261,352,0,778,488,407,639,0,688,0,971,536,608,428,379,0,1071,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-07,,20,15,45,51,24,23,67,28,31,44,22,8,20,14,0,58,44,21,30,71,130,66,96,116,74,15,9,44,114,294,289,37,355,333,101,194,350,149,312,257,303,190,152,0,479,186,392,171,0,335,0,393,272,349,219,131,0,444,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-08,,-1,0,1,-1,0,0,0,2,-1,0,2,0,0,-1,0,10,3,2,4,11,2,9,2,30,15,2,27,31,21,10,33,31,49,54,78,51,48,76,53,52,110,35,77,0,206,63,26,76,0,143,0,107,41,94,192,117,0,216,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-09,,0,0,5,0,1,3,-1,1,1,1,1,0,-1,1,0,2,0,1,5,2,7,3,3,3,6,-1,5,1,14,5,3,12,11,7,5,41,21,28,10,30,29,26,52,0,118,215,40,77,0,58,0,90,31,35,43,47,0,107,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-10,,22,6,5,4,10,0,0,1,0,1,2,2,4,1,0,0,5,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,3,6,1,0,0,6,1,5,2,5,6,5,2,0,12,3,7,12,0,-2,0,17,12,1,12,-1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-11,,29,12,49,17,20,6,1,0,0,1,-1,1,2,3,0,5,-1,1,1,-2,0,1,5,0,0,1,2,-2,0,28,0,8,0,0,1,1,6,6,3,11,3,5,13,0,20,12,5,14,0,8,0,17,1,21,4,1,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ma,ma-12,,0,0,1,0,0,2,0,0,4,5,4,5,-1,4,0,3,10,5,5,0,6,-1,12,4,-1,0,1,2,4,4,1,9,5,7,7,11,13,5,5,15,23,18,20,0,15,8,18,3,0,34,0,26,37,22,3,70,0,55,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
