month,seek
2020-04,62
2020-05,15893
2020-06,40289
2020-07,60909
2020-08,81865
2020-09,102823
2020-10,123280
2020-11,144450
2020-12,159780
2021-01,181690
2021-02,199952
2021-03,215282
2021-04,235760
2021-05,254789
2021-06,275987
2021-07,296455
2021-08,307435
2021-12,323549
2022-01,324326
