month,seek
2020-03,62
2020-04,96786
2020-05,631124
2020-06,1192871
2020-07,1746074
2020-08,2325841
2020-09,2907656
2020-10,3478909
2020-11,4071810
2020-12,4644047
2021-01,5243439
2021-02,5847147
2021-03,6390411
2021-04,6995713
2021-05,7578775
2021-06,8175314
2021-07,8757611
2021-08,9356548
2021-09,9956891
2021-10,10516841
2021-11,11099195
2021-12,11123573
2022-01,12034878
2022-02,12163213
2022-03,12186257
2022-04,12211859
2022-05,12236593
2022-06,12262106
2022-07,12286799
2022-08,12312332
2022-09,12337864
2022-10,12362558
