month,seek
2020-03,62
2020-04,24151
2020-05,136875
2020-06,254261
2020-07,367881
2020-08,486701
2020-09,606501
2020-10,723462
2020-11,844400
2020-12,961604
2021-01,1083708
2021-02,1205868
2021-03,1316244
2021-04,1438262
2021-05,1556007
2021-06,1677764
2021-07,1795614
2021-08,1917453
2021-09,2040101
2021-10,2157063
2021-11,2278000
2021-12,2279110
2022-01,2419115
2022-02,2554632
2022-03,2555668
2022-04,2556815
2022-05,2557925
2022-06,2559072
2022-07,2560182
2022-08,2561329
2022-09,2562476
2022-10,2563586
