month,seek
2020-03,62
2020-04,114466
2020-05,654281
2020-06,1221357
2020-07,1780627
2020-08,2367371
2020-09,2956296
2020-10,3534773
2020-11,4135490
2020-12,4716138
2021-01,5324085
2021-02,5936149
2021-03,6487421
2021-04,7099654
2021-05,7688167
2021-06,8290610
2021-07,8879382
2021-08,9484759
2021-09,10093348
2021-10,10659932
2021-11,11249188
2021-12,11275198
2022-01,12257449
2022-02,12390156
2022-03,12413984
2022-04,12440335
2022-05,12465852
2022-06,12492233
2022-07,12517763
2022-08,12544144
2022-09,12570525
2022-10,12596055
