region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22
admin_0,,de,,,,,,,,,,271,802,693,733,1043,1174,3336,2875,3017,4472,2389,2172,4669,4914,4093,5989,6933,5646,4647,3786,,,6030,12565,4704,4643,1609,2361,6872,,,,,,,3041,,,5361,,,2380,944,,,636,,,,,3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,de,de-bb,,0,0,2,0,0,4,4,-2,19,2,44,14,21,-15,20,57,125,-31,50,89,-19,126,97,-39,191,6,69,91,129,70,-18,270,40,40,15,40,229,115,8,116,44,12,61,59,62,37,85,78,57,66,-61,152,62,10,43,38,67,-9,81,33,15,6,19,39,31,12,45,-23,3,9,6,10,16,7,13,1,65,-55,13,3,5,56,-50,7,5,6,6,3,5,69,-68,4,71,-63,73,-68,0,2,6,5,5,8,5,1,11,12,7,13,60,-30,0,4,13,10,69,-60,78,-75,5,4,81,-64,10,79,-73,5,89,-87,92,-84,4,1,2,6,4,2,5,7,0,27,14,11,21,-15,1,2,29,-16,1,9,4,2,3,5,13,8,17,19,5,1,7,8,20,35,-17,5,5,16,19,19,11,13,0
admin_1,de,de-be,,6,3,10,5,1,11,22,-10,42,91,-7,42,79,5,151,146,91,180,157,118,76,206,321,191,215,282,28,119,320,-124,548,239,108,15,0,175,412,176,-93,262,54,59,74,113,94,-42,120,157,45,76,81,87,73,55,21,56,79,68,-8,90,31,32,52,53,58,58,4,17,8,17,37,58,45,-48,80,8,33,46,48,10,36,-43,54,22,22,42,25,30,23,27,2,41,-26,113,-41,92,8,29,56,80,50,42,68,12,31,75,85,128,137,34,20,63,69,57,61,43,-41,60,53,35,-50,153,41,-44,77,33,-41,124,-49,116,4,1,-20,72,24,17,-26,66,0,31,15,45,-22,130,19,3,8,97,-46,165,-44,154,0,48,-27,151,84,102,19,-35,135,103,145,90,75,32,3,99,75,71,108,76,29
admin_1,de,de-bw,,24,38,36,51,32,19,52,117,146,-91,595,-480,258,1162,-348,543,1863,-382,153,2190,650,1189,1188,1220,1251,1011,-32,1623,1227,-517,1258,2642,995,960,523,249,1140,1448,-64,1480,428,291,369,543,740,554,454,234,274,549,225,550,758,159,-102,631,-277,735,424,-472,111,49,77,829,-578,177,206,128,53,856,-660,123,102,777,-619,31,834,-690,88,42,63,792,-726,33,57,807,-666,38,24,11,7,15,790,-712,759,-693,12,10,30,51,739,-695,10,20,17,38,24,25,758,-687,11,24,35,42,358,-244,35,11,14,48,47,32,40,22,4,37,35,45,343,-252,24,16,45,62,46,58,341,-202,27,62,358,-205,86,108,51,18,74,65,323,-132,281,-136,11,54,67,89,77,78,57,269,-164,314,-42,150,151,93,30,216,273,291,242,257,125
admin_1,de,de-by,,6,10,19,51,20,20,87,111,11,134,58,123,205,181,938,-207,484,825,2448,-1098,2377,1220,-133,3518,1645,1421,-484,2388,1847,-1418,2825,4381,1494,-162,589,568,3934,1264,943,764,418,464,-89,943,1724,777,271,634,-279,1155,-20,1187,527,66,431,209,492,305,668,-156,137,570,-315,664,-185,234,490,-157,78,188,212,188,208,134,101,58,87,107,192,93,117,79,94,88,134,116,87,78,83,704,-647,37,726,-589,685,-605,39,41,45,75,35,32,22,18,35,43,43,46,286,-213,28,41,46,56,288,-143,43,32,62,84,216,-84,83,70,28,82,90,70,218,-40,60,18,60,85,107,97,79,49,44,76,85,79,102,132,154,85,74,101,268,-50,244,-28,70,124,168,119,132,78,47,166,49,175,204,234,214,89,165,-66,738,386,360,294,141
admin_1,de,de-hb,,2,0,0,0,0,0,7,-7,29,7,9,1,5,1,10,0,52,9,37,4,12,19,4,10,48,17,12,8,14,3,24,33,15,3,5,36,6,18,9,13,4,6,4,18,45,12,18,11,7,17,108,17,17,15,14,-29,79,42,22,12,4,-26,60,10,54,29,-47,90,12,-41,64,29,23,21,19,10,11,19,18,16,4,6,10,2,10,26,26,29,24,7,1,11,3,48,15,5,14,1,15,17,9,7,8,3,1,4,22,7,5,13,3,6,0,2,3,1,5,-3,1,5,4,4,0,3,1,0,2,3,5,0,0,1,1,0,6,4,5,12,2,1,4,2,6,9,5,0,5,6,7,9,7,1,0,4,4,2,6,2,3,6,3,12,-2,15,-2,6,4,5,15,12,9,7,7
admin_1,de,de-he,,4,2,6,1,4,0,20,16,-14,88,12,148,24,22,272,-67,494,-79,426,-121,85,330,523,301,308,185,38,54,485,329,64,453,76,239,139,255,303,292,-185,491,99,77,160,227,207,-120,333,179,-16,264,-46,347,101,89,24,68,139,-25,251,78,40,26,28,93,101,83,86,47,15,72,43,70,46,9,94,74,-1,136,102,28,51,51,14,30,75,33,71,38,34,7,6,26,15,48,19,24,8,36,17,37,9,25,19,6,8,40,58,48,-13,91,7,20,38,27,20,48,12,9,20,30,50,29,31,17,10,27,29,52,9,72,28,3,24,47,48,40,19,52,9,26,37,61,57,71,34,5,58,64,84,81,85,51,21,70,-20,210,123,124,76,-80,194,97,155,185,151,60,49,190,140,209,215,207,123
admin_1,de,de-hh,,3,1,5,3,4,5,21,30,-26,40,11,162,78,-79,52,375,-181,513,106,149,-285,625,163,170,142,145,115,-135,363,-287,267,482,108,-128,69,0,282,420,97,79,46,41,-166,325,73,108,-96,157,33,58,-144,241,42,44,17,21,25,-109,176,8,13,3,9,21,21,17,12,10,3,4,2,14,10,12,6,1,10,-6,13,2,3,9,-6,1,3,1,0,5,1,6,2,2,28,-13,21,-15,1,3,2,4,7,4,3,1,1,29,-19,8,4,4,4,3,9,11,5,7,-5,14,1,3,8,3,2,11,-7,3,4,3,2,2,0,0,1,2,1,6,0,5,2,5,9,24,-30,64,15,4,7,15,-1,52,-6,42,6,43,36,58,60,34,34,14,32,-13,90,26,34,10,8,-29,77,33,-8,64,2
admin_1,de,de-mv,,2,2,1,0,0,2,4,1,8,9,4,12,5,1,18,31,33,34,22,1,13,16,8,61,42,21,11,13,50,-8,29,62,15,5,2,35,8,15,-2,26,3,4,-1,7,17,1,9,0,2,2,0,4,1,12,0,1,13,4,5,3,2,0,4,7,3,6,-1,5,3,3,4,4,5,-2,5,1,6,-4,8,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,3,7,0,0,3,1,2,2,0,1,2,2,5,0,4,-3,0,0,1,2,1,2,4,-2,1,1,0,1,0,0,0,0,0,0,5,-5,0,0,5,-5,1,0,5,-2,1,0,2,4,11,18,0,0,4,4,0,14,0,14,4,4,9,14,15,10,4,-3,9,5,3,6,10,1,1,1,5,3,4,5,3
admin_1,de,de-ni,,6,4,6,7,8,4,14,-4,26,145,10,23,34,104,397,-48,241,281,190,134,531,294,-38,790,411,56,281,259,600,369,334,303,223,268,194,372,333,314,261,128,150,80,168,227,242,201,352,-118,131,296,52,116,119,135,-17,76,100,124,45,39,36,216,-110,80,91,86,75,29,10,257,-159,79,40,172,-108,9,69,63,94,50,95,37,9,45,59,150,48,64,59,23,42,56,160,61,118,36,31,55,76,64,192,-67,30,13,36,172,-58,84,77,43,12,16,70,34,41,39,29,14,32,25,218,-150,32,224,-201,28,14,18,204,-179,3,2,217,-169,30,25,39,76,11,17,260,-144,28,22,33,21,224,-135,174,-60,146,-29,15,59,59,77,84,90,38,151,-48,158,9,192,-37,50,17,139,117,141,82,94,22
