region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22
admin_0,,de,,,,,,,,,,0,0,0,0,0,0,24,12,7,21,17,11,30,22,37,80,90,72,67,107,,,187,273,192,123,162,140,328,,,,,,,376,,,478,,,212,229,,,212,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,de,de-bb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,2,10,0,12,8,7,9,-35,10,45,6,-42,53,10,-44,51,6,0,-48,11,53,-49,9,46,-38,51,-38,42,-30,11,22,-19,24,1,2,1,0,0,2,0,0,1,-4,4,0,0,0,1,0,2,-2,0,0,0,0,0,0,6,-6,0,0,8,-6,0,0,6,-6,0,6,-6,8,-7,0,0,0,0,7,-7,0,0,0,0,0,0,8,-8,0,0,0,0,0,0,0,0,0,0,8,-7,0,0,0,0,8,-8,9,-9,0,0,0,0,0,0,9,-9,0,0,0,0,9,-9,0,0,9,-9,9,-9,0,0,0,0,9,-8,0,0,0,9,-9,0,0,9,-9,0,0,9,-9,0,9,-9,0
admin_1,de,de-be,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,0,7,4,-9,16,-11,20,3,4,4,3,-27,5,54,2,5,-53,77,6,10,-79,85,0,3,1,2,3,6,-50,55,2,-52,61,2,-48,1,58,-44,61,-41,45,0,2,-40,41,-36,38,1,0,1,0,2,1,0,1,0,0,0,1,3,1,1,0,0,0,0,0,-16,16,0,0,-11,11,1,-12,13,-11,12,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-3,3,3,1,-6,8,0,0,0,2,-9,9,0,1,0,0,0,0,0,0,-4,4,0,0,-3,3,-3,3,0,0,-2,2,-2,2,-2,2,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0
admin_1,de,de-bw,,0,1,0,2,1,1,2,0,-7,0,20,-20,33,-33,6,72,-67,115,-103,141,28,44,-194,41,321,58,-324,37,460,-423,609,-486,43,24,619,-554,67,675,-597,674,45,34,29,45,33,29,-505,552,20,-475,518,22,16,23,4,-373,387,14,10,8,10,3,3,6,7,6,12,5,1,-154,162,4,6,4,2,0,-76,94,4,2,1,-68,71,1,3,1,2,1,0,-28,28,1,3,3,0,0,1,0,0,1,11,-10,0,0,0,1,0,0,29,-29,1,0,0,0,1,1,35,-35,0,0,39,-38,0,41,-40,0,41,-40,41,-41,0,0,41,-41,3,0,40,-40,1,1,39,-36,36,-35,1,0,36,-36,0,0,0,0,0,0,0,0,0,0,0,45,-45,46,-45,46,-46,0,0,0,0,0,48,-48,0
admin_1,de,de-by,,0,0,1,0,0,0,0,-1,0,0,11,5,3,8,-22,44,-36,7,1,1,173,48,-205,13,421,-366,502,-450,652,-601,838,94,83,51,-800,31,1025,88,58,71,43,45,69,-857,982,52,-781,854,32,36,-718,791,-620,662,11,-582,622,18,-437,469,7,-383,394,-327,347,15,-271,287,6,9,8,7,4,-186,201,2,-165,173,7,2,4,2,0,3,5,3,0,1,0,-81,83,1,-76,80,1,1,3,0,0,1,0,2,0,0,1,-20,22,1,-11,11,1,0,3,1,2,0,1,0,0,0,15,-14,0,0,0,0,26,-25,1,0,0,0,31,-30,1,2,0,0,1,0,1,0,31,-31,0,0,0,0,0,1,0,0,0,1,32,-32,1,0,0,38,-38,39,-39,0,0,0,0,42,-41,0,0,0,0
admin_1,de,de-hb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,-1,0,0,0,2,-1,1,3,-3,2,4,-3,5,-4,10,-8,8,-7,2,9,-7,10,0,3,0,1,1,1,-4,4,-4,8,0,0,-7,7,0,0,3,0,0,0,0,0,0,-5,6,1,-7,10,1,-9,9,1,0,-7,9,0,-9,10,0,0,0,0,0,1,0,-8,8,0,0,-7,8,1,-8,9,0,0,0,0,0,0,-8,9,0,1,0,-5,5,0,3,0,0,0,0,0,0,0,-6,6,0,0,-3,3,0,-3,3,0,-2,2,0,0,0,0,-1,1,0,0,-1,2,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
admin_1,de,de-he,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,1,0,1,10,1,-10,1,28,-25,52,7,-53,75,13,-80,13,125,-102,125,21,18,19,32,15,15,12,11,15,13,15,10,-154,176,-162,179,12,8,6,4,3,2,4,-102,7,104,1,1,3,2,3,4,6,1,0,3,4,1,0,-55,60,2,1,0,2,1,0,-34,38,0,0,-31,31,0,0,0,1,0,-22,23,0,0,0,0,0,2,0,0,0,0,0,-13,14,0,2,0,0,0,0,0,-5,5,0,0,0,0,0,0,1,1,-1,0,2,-2,4,-3,0,0,3,-3,1,0,2,-2,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-7,7,0,0,6,-6,0,1,0,0,0,0,0,0
admin_1,de,de-hh,,0,0,0,1,0,0,0,-1,0,0,3,1,0,-4,5,0,2,2,-8,0,12,3,-15,1,0,2,0,54,8,8,-60,94,-92,106,-103,0,146,3,1,4,8,6,-131,5,148,9,1,2,-130,0,138,8,1,-99,105,3,1,-95,98,0,0,0,4,2,1,1,1,0,0,-56,57,0,1,0,0,1,-29,29,0,0,0,-23,23,0,0,0,0,0,0,-17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,0,-3,3,-3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4,4,-4,4,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,0,0,0,0,0,-1,1,0
admin_1,de,de-mv,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,3,2,0,0,2,-4,0,10,-8,8,-5,0,3,5,1,0,0,0,1,-4,4,-5,6,0,-3,0,3,0,-2,3,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0,1,-1,0
admin_1,de,de-ni,,0,0,0,0,0,0,0,1,-1,2,0,0,1,0,-3,9,2,7,-14,0,2,25,-23,2,86,27,-96,5,142,21,22,31,20,9,-164,13,222,18,16,9,12,11,19,-168,200,-176,194,9,-162,12,180,11,7,-130,135,-122,139,-116,131,0,0,-98,106,-91,99,1,-83,88,1,1,4,4,1,-55,58,1,-47,54,1,0,3,-37,38,1,2,-25,26,1,1,-18,18,0,-14,16,-10,10,0,1,0,1,0,4,0,0,1,1,4,1,-7,7,0,0,1,0,-3,5,0,0,1,0,3,-2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,-12,12,-11,0,0,0,0,0,1,14,-14,0,0,15,-15,0,0,0,15,-15,0,0,0,0,1,1,15,-14,0,0,0,0
