region_schema,region_parent,region_child,agerange,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12
admin_1,jp,jp-01,,69,69,69,81,83,90,93,98,98,114,121,121,121,124,130,130,130,130,130,141,143,145,145,148,158,158,161,161,161,163,171,171,171,171,171,188,195,196,201,202,202,202,209,209,248,248,248,254,286,286,302,394,424,444,459,472,502,519,528,560,589,601,620,642,670,687,711,726,734,736,755,763,770,783,799,810,812,821,831,849,863,869,881,888,906,921,931,943,950,956,959,970,977,988,1001,1006,1010,1011,1020,1028,1032,1044,1048,1054,1054,1061,1072,1077,1080,1088,1093,1098,1106,1120,1126,1126,1130,1132,1132,1136,1139,1141,1149,1156,1158,1164,1171,1175,1181,1188,1191,1196,1202,1214,1215,1237,1243,1247,1252,1261,1263,1273,1291,1297,1312,1316,1320,1323,1334,1348,1368,1379,1388,1388,1407,1429,1457,1463,1465,1472,1476,1488,1499,1512,1527,1533,1540,1558,1567,1578,1578,1607,1623,1641,1644,1659,1670,1679,1696
admin_1,jp,jp-02,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,5,5,5,5,6,6,9,9,10,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,17,17,17,21,21,21,21,21,21,21,21,21,21,21,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,29,29,29,29,29,30,30,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
admin_1,jp,jp-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,5,6,6,6,6,7,7,8,8,8,8,8,9,9,10,10,17,17,17,18,18,19,19,19
admin_1,jp,jp-04,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,6,8,8,8,8,8,8,14,23,29,31,31,32,32,32,32,50,61,61,61,65,69,72,75,79,80,80,80,81,82,82,84,85,85,85,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,90,90,90,90,90,90,91,91,92,92,94,94,95,100,100,100,100,100,104,109,113,120,123,127,127,132,138,138,138,140,143,143,144,146,149,152,153,155,157,157,158,162,167,168,171,173,173,173,176,179,179,180,180,180,182,184,186,187,189,189,190,190,190,190,190,192,192,195,204,206,209,211,217
admin_1,jp,jp-05,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,0,0,0,14,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,21,23,25,25,26,26,31,33,34,34,34,39,40,41,41,42,43,43,43,45,45,45,45,47,47,47,47,48,49,49,50
admin_1,jp,jp-06,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,15,15,17,17,17,32,32,38,38,38,38,48,50,53,54,54,54,54,56,56,58,58,58,58,58,58,58,58,58,58,58,63,64,64,64,65,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,70,70,70,70,71,71,72,72,72,72,72,73,73,73,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
admin_1,jp,jp-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,14,14,15,17,19,19,19,19,19,19,19,19,19,19,19,34,34,34,43,45,45,50,52,57,58,61,63,66,66,66,68,69,69,70,71,71,72,74,74,74,75,75,75,75,75,76,76,78,78,78,78,78,78,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,85,86,86,86,86,86,87,87,88,88,88,89,89,89,90,90,90,90,91,94,94,95,96,98,98,102,102,105,106,106,109,111,116,116,126,131,133,134,134,139,149,160
admin_1,jp,jp-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,7,8,9,10,10,10,10,11,14,16,16,16,18,21,24,24,24,31,31,33,35,35,38,45,61,69,71,73,78,78,78,92,93,94,98,105,111,130,133,133,137,139,142,145,145,145,145,147,149,151,151,151,152,153,153,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,156,157,157,159,159,159,159,160,160,160,160,163,163,165,167,167,169,171,172,177,181,186,190,193,194,197,199,201,201,204,206,211,211,211,211,216,223,233,235,240,243,244,253,267,287,287,287,305,330,341,345,356,363,363,387,396,402,408,417,421,428,438,444,450,456,465,467,474,481,485,485,499,503,508,518,523,530,534,538
admin_1,jp,jp-09,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5,7,7,7,8,8,8,8,8,8,8,8,13,13,13,13,13,13,16,16,16,16,22,25,25,25,25,25,32,32,32,38,39,40,40,40,40,44,46,46,46,47,47,47,47,48,48,49,49,49,53,53,53,57,58,60,60,61,62,62,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,67,67,72,74,82,82,82,82,83,86,87,87,90,90,90,91,95,97,97,97,99,100,112,119,127,139,142,142,146,147,148,161,168,177,178,179,180,187,203,210,213,214,221,221,242,251,252,255,255,259,264,270,273,273,276,277,277,284,287,288,288,292,292,296,299,299,300,302,302
admin_1,jp,jp-10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,5,5,5,5,5,5,5,5,14,14,14,14,14,14,14,15,15,15,15,15,15,15,36,36,36,47,47,55,64,66,68,71,76,82,82,93,94,96,101,104,104,105,106,108,112,115,116,116,117,118,118,121,122,122,122,122,123,123,125,126,126,126,126,127,127,128,129,130,130,130,130,130,130,130,130,130,131,131,131,131,131,131,131,131,133,133,133,133,133,133,133,133,134,134,134,136,136,136,136,136,136,137,138,138,139,139,139,139,140,140,141,141,141,143,143,148,150,152,157,158,161,163,166,171,173,176,177,178,178,178,193,204,210,226,229,249,260,260,274,299,323,328,338,338,348,357,357,392,392,400,403,405,410,425,431
