region_schema,region_parent,region_child,agerange,2020-03-04,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07
admin_1,au,au-nsw,,6,2,2,7,6,4,13,14,20,22,37,39,57,40,46,46,97,136,149,211,211,186,212,174,127,114,150,116,91,104,87,57,49,48,39,49,44,7,9,7,14,11,29,10,21,6,6,5,5,7,12,8,2,5,11,2,9,5,4,1,3,9,3,4,5,2,1,0,6,4,8,3,1,1,2,4,2,3,3,1,3,2,2,1,2,0,3,3,6,0,2,4,0,-1,3,2,3,0,1,4,9,3,3,1,2,6,1,5,2,-1,9,3,6,6,3,7,5,14,8,0,5,14,10,4,7,13,14,7,4,8,7,1,4,5,15,18,20,11,15,19,7,14,14,17,14,19,18,20,17,11,13,12,11,12,10,9,10,2,22,18,12,9,9,5,7,2,7,5,1,9,4,3,3,6,9,13,14,7,10,13,16,12,8,5,-3851,3865
admin_1,au,au-nsw,0-9,,,,,,,,,,,,,,,,,,,,,3,0,3,7,-1,2,0,0,3,2,2,0,1,1,1,-1,0,0,2,0,0,,,0,1,-1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,1,0,0,2,0,0,2,2,0,0,0,0,0,1,0,3,,,1,1,0,0,1,2,0,3,0,0,3,0,1,4,2,0,1,0,0,0,0,2,2,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,
admin_1,au,au-nsw,10-19,,,,,,,,,,,,,,0,3,3,5,2,3,2,2,1,7,5,6,3,7,10,5,5,2,1,2,2,1,0,2,0,1,0,0,,,0,1,0,0,-1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,,,1,4,2,0,1,4,0,5,3,0,1,0,6,1,0,0,3,3,5,2,1,1,1,1,,,,,,,,,1,3,0,2,0,0,0,0,3,0,0,1,0,1,2,0,1,1,4,3,0,0,0,2,
admin_1,au,au-nsw,20-29,,,,,,,,,,,,,,4,12,18,22,31,25,40,40,52,45,44,35,26,41,29,26,18,19,9,6,11,8,12,7,-2,4,2,3,,,2,5,1,0,0,0,0,1,2,0,0,3,1,2,0,1,0,2,2,0,1,1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,0,0,1,0,0,0,0,2,2,2,3,0,0,1,1,0,0,0,0,0,0,0,0,6,0,3,2,-1,5,0,3,1,2,3,0,,,3,2,7,2,2,4,0,10,3,2,1,0,2,2,4,2,2,2,6,3,0,1,3,3,,,,,,,,,4,0,1,1,1,0,3,0,1,1,1,0,1,0,1,2,1,0,1,3,1,3,3,2,
admin_1,au,au-nsw,30-39,,,,,,,,,,,,,,14,8,16,16,12,18,27,31,26,30,23,15,18,20,21,14,24,23,9,13,10,4,11,8,-1,1,2,3,,,-1,2,1,2,1,0,0,1,0,0,1,-1,0,0,1,-1,0,0,2,2,0,1,0,0,0,0,1,5,2,1,0,0,1,0,0,3,0,0,,,,,,,,,,,,0,0,0,1,1,0,0,1,3,1,0,1,1,1,0,1,1,-2,3,1,1,3,1,1,0,7,2,0,4,0,5,2,3,4,7,,,3,2,2,5,1,1,0,4,2,3,2,2,3,1,3,2,4,3,2,5,3,4,4,0,,,,,,,,,1,1,1,0,0,1,1,0,2,1,0,2,1,3,3,3,1,5,6,1,6,1,1,2,
admin_1,au,au-nsw,40-49,,,,,,,,,,,,,,5,8,17,14,20,8,27,30,8,26,14,13,19,21,13,6,11,11,7,7,2,4,6,2,-1,2,-1,3,,,4,1,0,2,1,2,2,3,0,0,1,-1,-1,1,1,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,1,-1,2,0,0,0,,,,,,,,,,,,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,3,1,1,2,0,1,0,0,1,0,2,0,0,0,0,2,1,,,4,1,1,2,1,1,0,4,1,5,7,3,3,1,4,2,1,2,4,3,0,2,0,0,,,,,,,,,2,1,2,2,0,3,0,1,1,0,1,0,2,0,2,1,0,1,0,2,1,3,0,1,
admin_1,au,au-nsw,50-59,,,,,,,,,,,,,,6,9,12,11,29,21,43,27,26,31,24,25,15,24,13,12,12,13,6,7,5,9,4,3,-1,0,2,0,,,3,4,0,1,1,1,0,0,1,0,0,2,-1,1,1,2,-1,29,-29,0,-1,0,0,0,0,3,0,0,0,0,0,1,1,1,-1,-1,0,1,,,,,,,,,,,,0,0,2,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,1,4,0,2,0,0,0,0,2,1,1,5,0,0,1,0,2,2,,,0,2,1,0,1,2,0,6,1,3,2,2,-1,2,2,4,3,3,1,2,3,2,1,2,,,,,,,,,0,3,0,0,0,1,0,0,1,0,1,0,1,2,1,1,2,1,1,5,1,1,0,0,
admin_1,au,au-nsw,60-69,,,,,,,,,,,,,,8,4,11,17,21,33,32,30,34,33,32,19,14,10,20,14,23,7,9,7,15,7,9,10,1,0,1,2,,,0,0,1,0,0,1,0,4,2,2,1,1,0,0,3,0,-2,0,1,0,0,-1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,,,2,0,0,0,0,0,0,6,0,1,3,0,0,3,1,3,3,5,1,1,3,1,1,2,,,,,,,,,1,1,0,2,0,2,1,0,1,1,0,0,1,1,0,2,1,1,1,1,2,0,1,1,
admin_1,au,au-nsw,70-79,,,,,,,,,,,,,,2,3,3,10,14,30,22,18,31,34,25,9,11,18,9,7,3,8,13,5,2,4,7,1,0,-1,1,2,,,2,3,1,1,0,0,3,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,,,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0,1,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,
admin_1,au,au-nsw,80-89,,,,,,,,,,,,,,1,-1,2,2,6,7,15,8,5,2,1,5,4,6,2,4,5,1,3,1,0,1,0,1,0,0,1,1,,,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
