region_schema,region_parent,region_child,agerange,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28
admin_1,au,au-nsw,,4,130,147,170,211,255,321,402,509,612,705,826,916,980,1030,1105,1163,1205,1249,1291,1322,1342,1368,1389,1414,1429,1428,1434,1439,1446,1465,1473,1486,1493,1494,1495,1497,1499,1508,1490,1491,1494,1498,1496,1503,1507,1509,1509,1510,1513,1514,1514,1516,1517,1517,1517,1521,1523,1524,1526,1526,1526,1527,1527,1527,1528,1530,1531,1533,1566,1566,1567,1569,1570,1572,1572,1570,1572,1576,1576,1578,1578,1580,1583,1583,1585,1586,1587,1591,1593,1595,1597,1598,1602,1602,1610,1613,1615,1621,1621,1624,1627,1628,1632,1639,1644,1647,1653,1658,1663,1669,1674,1674,1695,1703,1711,1718,1723,1731,1736,1744,1750,1760,1766,1778,1786,1792,1800,1806,1813,1873,1877,1880,1882,1887,1888,1892,1895,1896,1901,1902,1904,1905,1909,1913,1918,1923,1926,1929,1936,1943,1950,1953,1957,1962,1963,1967,1972,1974,1975,1980,1985,1986,1990,1995,1997,1998,1998,1999,2001,2002,2003,2004,2006,2007,2007,2008
admin_1,au,au-nsw,0-9,1,,,,,,,,1,4,4,5,9,8,9,9,8,10,9,10,10,11,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,19,19,19,19,19,19,19,19,19,20,20,20,20,20,21,21,22,22,22,22,23,23,23,24,24,24,25,27,27,27,27,27,27,27,27,29,30,30,31,31,31,32,32,32,33,33,33,33,33,33,34,35,35,35,35,35,35,35,35,36,36,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,41,41,42,42,42,42,42,42,43,43,43,43,43,43,43,43
admin_1,au,au-nsw,10-19,,5,5,8,11,14,16,18,18,18,19,21,23,26,27,30,37,41,43,44,44,44,46,47,47,47,47,48,48,48,48,48,49,49,48,48,48,48,48,48,48,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,50,51,52,52,52,53,53,53,53,53,53,53,53,53,53,53,55,55,55,55,56,56,58,59,59,60,62,62,65,67,67,67,67,71,71,71,71,73,74,77,78,78,79,79,80,98,99,102,102,104,104,104,104,104,106,106,106,107,107,108,109,109,109,109,110,111,111,111,111,113,113,114,114,114,114,115,115,115,116,118,118,118,118,118,118,118,118,118,118,118,118,118
admin_1,au,au-nsw,20-29,,21,24,30,36,48,69,84,109,137,166,191,217,237,250,270,287,297,303,314,318,320,327,333,339,341,341,345,345,345,347,348,352,353,353,353,353,352,353,354,354,354,355,355,357,357,358,358,360,361,361,361,362,362,361,361,361,361,361,361,361,361,362,363,363,363,363,364,364,367,367,367,367,367,367,367,368,370,371,371,373,373,373,374,374,374,374,374,374,374,374,374,374,377,377,379,380,380,383,383,384,384,385,386,386,387,387,388,391,391,393,394,394,399,401,403,404,404,404,406,408,408,409,410,414,415,416,416,417,419,430,432,432,433,433,433,433,434,434,435,435,436,436,437,437,438,439,439,439,439,441,441,442,445,444,445,446,447,447,448,451,452,452,454,455,455,455,455,455,455,456,456,456,456,456,456,456
admin_1,au,au-nsw,30-39,,35,43,45,55,59,65,76,89,106,117,133,144,151,163,168,181,189,203,213,218,225,230,231,237,238,237,238,240,242,245,245,245,248,249,248,248,248,248,248,248,249,248,248,248,248,248,248,248,249,250,250,250,250,250,250,250,251,252,253,253,253,253,253,253,253,255,255,255,258,258,258,258,258,259,259,259,259,261,261,261,261,262,263,263,264,264,263,264,265,266,266,266,267,267,271,271,272,273,273,275,275,275,276,280,280,281,281,282,284,285,286,286,287,289,291,291,292,294,294,296,298,300,302,303,307,309,312,314,315,323,323,323,323,323,324,324,325,325,325,325,325,325,326,326,328,328,329,330,334,335,339,339,340,342,342,344,344,344,344,345,346,347,347,348,348,349,350,351,351,351,352,353,355,356,356,357
admin_1,au,au-nsw,40-49,,23,22,25,34,40,48,52,63,76,78,95,99,105,110,121,123,124,130,135,139,143,143,146,149,151,151,152,152,153,155,158,158,158,158,160,160,162,165,165,165,165,166,165,166,167,167,167,167,167,167,167,169,169,170,170,170,171,171,171,171,171,171,171,171,172,172,172,172,172,172,172,172,173,173,173,172,172,172,172,172,172,172,172,172,172,172,172,173,173,173,175,175,175,175,175,175,175,175,175,175,175,175,175,175,176,177,177,178,180,180,180,180,181,181,182,185,188,190,191,192,193,193,194,197,197,197,198,198,198,204,205,205,206,208,208,210,210,211,212,212,213,213,214,214,215,216,216,216,216,216,217,218,218,218,218,218,219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
admin_1,au,au-nsw,50-59,,21,22,27,34,39,50,60,88,101,111,128,142,155,163,176,183,191,193,200,204,207,211,216,216,219,218,217,218,218,217,218,221,221,222,222,223,223,223,224,224,224,225,224,225,225,226,226,226,227,227,226,226,226,226,226,228,228,228,228,228,228,228,228,228,227,227,227,228,230,230,230,232,232,232,232,231,231,231,231,231,231,232,232,232,232,232,233,235,235,235,235,235,235,235,236,236,237,239,239,239,240,240,241,242,243,243,245,245,245,246,247,247,251,252,254,255,256,256,256,256,257,258,259,259,260,261,263,264,265,272,272,272,272,272,272,272,272,272,272,272,272,272,273,275,275,275,275,276,277,278,279,280,280,280,280,280,281,282,282,282,283,283,283,284,285,285,284,284,284,284,284,284,284,284,284,284
admin_1,au,au-nsw,60-69,,15,19,21,25,36,46,69,80,99,120,140,158,166,168,174,184,191,204,207,212,215,222,224,229,235,235,236,237,238,237,238,238,239,238,238,238,237,240,241,242,243,243,243,243,246,246,246,245,244,244,244,244,244,244,244,246,246,246,246,246,246,246,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,246,246,246,247,247,247,247,247,247,247,252,252,252,254,254,254,255,256,257,260,260,260,261,263,264,265,266,272,272,272,272,273,273,275,276,276,277,277,277,277,277,277,277,278,279,280,281,282,283,283,283,284,284,284,285,285,285,285,285,285,285,285,286,286,286,286,286,286,286,286,286,286,286,286
admin_1,au,au-nsw,70-79,,4,5,8,10,12,19,29,40,48,64,84,94,99,104,115,118,118,119,123,131,131,131,134,138,138,139,137,137,138,142,144,145,145,145,145,145,147,147,148,148,148,148,148,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,152,152,152,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,152,152,152,152,152,153,153,154,154,154,154,154,155,155,156,156,157,157,157,157,157,158,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,161,162,162,162,163,163,163,163,163,163,163,164,164,164,164,165,165,165,165,165,165,165,165,166,166,166,166,166,166,166,166
admin_1,au,au-nsw,80-89,,2,3,2,2,2,3,7,14,16,19,20,21,23,26,31,33,34,35,35,36,36,36,36,37,37,37,37,38,39,43,43,44,44,45,45,46,46,47,48,48,48,48,48,48,48,48,48,48,48,48,49,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
