region_schema,region_parent,region_child,agerange,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
admin_1,fr,fr-11,,54,36,0,0,9,15,1,13,8,0,0,6,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,2,2,0,0,1,1,0,2,4,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,6,2,1,0,4,0,0,1,1,0,0,2,8,4,6,6,2,0,3,18,20,13,19,12,1,14,25,20,23,15,14,8,24,32,34,37,39,32,7,36,58,51,67,90,43,21,17,70,54,91,2,55,16,24,50,98,92,60,71,21,28,100,59,144,39,95,22,31,112,86,108,99,68
admin_1,fr,fr-12,,5,30,17,0,6,2,2,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,2,1,1,4,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,5,2,0,8,6,1,1,8,2,8,0,2,0,0,2,2,2,13,13,8,2,5,7,19,5,18,10,1,13,16,16,28,74,0,9,8,27,40,23,53,59,65,22,54,62,130,1,47,22,11,103,110,28,90,55,35,39,149,82,72,16,59,31,21,78,59,79,75,32
admin_1,fr,fr-13,,126,138,74,1,53,99,60,84,23,44,17,0,63,49,51,62,13,39,25,9,61,121,82,65,21,68,1,93,106,101,28,6,13,58,46,36,26,17,4,10,7,33,19,23,20,10,14,46,18,18,68,7,13,17,44,109,7,124,32,16,90,3,36,61,31,36,27,44,75,65,72,97,46,44,161,55,153,220,203,175,52,194,272,403,539,12,449,85,340,539,497,696,771,585,63,115,1729,1049,1137,961,688,437,941,1303,2250,1308,414,1590,34,276,2447,2275,766,1412,1259,402,1026,1901,1449,1166,2229,1257,522,1097,1749,1006,2333,1431,969,525,117,2136,1833,1382,1313,774,293,561,2359,115,1365,1304,1789
admin_1,fr,fr-14,,8,9,6,6,6,7,3,0,0,8,0,2,4,2,0,4,3,1,2,3,1,4,2,0,0,0,2,4,0,0,2,0,1,1,5,3,0,1,3,2,2,8,2,0,0,2,2,3,4,3,5,5,0,1,4,19,6,6,1,1,2,8,8,7,28,13,0,2,25,13,12,10,0,9,3,11,9,3,7,15,3,2,5,5,11,3,14,20,6,16,28,4,23,19,14,8,28,25,20,29,31,29,4,38,38,30,96,1,81,0,64,73,117,24,54,43,201,58,67,260,130,168,87,50,276,79,172,174,117,53,56,147,181,150,93,150,83,95,184,258,100,252,147
admin_1,fr,fr-15,,1,3,0,0,6,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2,0,1,1,0,0,0,2,1,3,4,2,4,6,0,1,2,1,7,3,1,1,14,6,11,10,9,20,1,9,12,6,25,23,10,1,2,19,9,35,12,2,2,5,19,14,28,28,4,12,7,22,27,19,39,12
admin_1,fr,fr-16,,3,2,4,0,3,13,7,9,14,0,2,1,3,8,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,2,1,6,5,4,2,0,0,0,6,0,8,0,0,0,0,2,1,1,0,0,2,2,3,7,4,0,8,7,19,3,7,15,13,2,6,15,12,14,25,10,12,1,69,13,28,24,19,4,14,20,71,37,22,37,15,26,53,54,93,83,68,23,25,72,52,41,55,48,11,17,39,60,53,71,0
admin_1,fr,fr-17,,0,2,0,0,0,8,6,0,0,2,0,1,3,3,3,0,0,0,0,0,2,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,2,0,0,2,0,1,1,0,3,1,4,2,4,1,1,6,3,3,7,14,6,7,3,8,1,3,12,7,18,3,7,7,15,20,18,25,11,20,15,26,19,28,23,7,30,9,13,50,5,18,31,23,28,27,25,34,40,79,16,9,45,71,45,114,1,86,47,88,38,47,37,55,26,20,19,32,53,41,64,68
admin_1,fr,fr-18,,2,7,5,0,0,6,7,5,0,4,0,1,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,2,2,1,5,1,1,12,0,0,0,4,2,1,1,1,1,4,0,0,1,1,2,2,0,0,2,0,2,0,0,0,0,3,4,1,0,0,0,0,0,2,0,0,0,1,3,3,3,2,8,0,1,9,0,10,2,12,2,1,11,0,9,16,12,1,9,18,29,20,8,4,6,6,28,1,14,25,23,11,22,21,15,32,32,39,10,10,117,28,26,30,54,2,13,27,51,31,31,15,4,11,19,68,23,60,31
admin_1,fr,fr-19,,4,3,1,0,2,6,1,1,0,2,6,6,0,0,2,2,0,0,0,0,13,9,0,2,0,0,4,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,5,4,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,2,3,2,1,2,1,1,4,12,0,0,0,4,8,10,4,0,4,0,0,4,2,6,8,12,0,6,17,14,5,14,3,7,7,25,13,22,28,17,0,5,27,24,50,36,25,7,12,60,22,16,46,48,0,17,45,43,72,18,48,14,22,45,61,25,58,28
admin_1,fr,fr-21,,0,21,15,0,0,21,30,5,1,25,2,3,8,5,14,4,4,0,0,0,2,0,2,1,1,6,1,3,4,2,8,0,5,8,3,2,11,1,0,0,4,8,6,1,3,0,2,8,0,4,1,1,0,0,8,3,4,13,2,6,1,3,2,4,14,0,2,4,4,6,0,14,6,6,7,10,13,2,8,7,2,6,20,17,18,9,9,0,6,16,13,24,20,23,12,7,69,41,48,112,71,87,73,103,108,109,164,98,33,34,135,149,104,187,73,77,262,119,268,228,37,167,86,100,181,91,153,219,219,88,175,179,216,180,208,116,143,135,255,77,219,156,165
