region_schema,region_parent,region_child,agerange,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
admin_1,au,au-vic,,,,-3,,,-7,-2,7,,,,,,,,,,,,,,,,,,,1,-7,-10,3,-8,-2,-7,9,2,19,11,10,19,11,4,6,10,22,20,21,27,57,33,49,45,27,67,34,102,,72,240,77,235,,,128,-1543,6,11,2432,-2408,17,23,3161,-3029,21,-62,189,26,109,67,79,4889,-4804,5374,-5247,43,103,6249,-5970,58,110,50,82,5899,11,-5618,84,5131,-200,-4777,2367,-2257,1686,-1600,1038,-3657,3414,-3417
lga,au-vic,alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-1,0,0,,,0,,,,,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
lga,au-vic,ararat,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lga,au-vic,ballarat,,0,0,-1,0,0,,,,0,,,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,4,3,0,1,0,1,1,0,0,0,-1,0,0,0,0,1,0,0,1,1,3,-1,3,0,-1,3,2,2,1,1,1,1,-4,-2,-4,-5,-9,1,1,0,0,0
lga,au-vic,banyule,,1,-1,-1,0,0,,,,0,-2,0,0,1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,1,,,0,,,,,0,0,,,1,1,-1,0,0,,5,2,0,15,-9,3,29,-13,41,28,3,14,-2,8,15,-5,-1,8,6,-2,-7,0,0,-3,5,0,-10,-3,15,0,-1,-7,-3,0,-7,-3,1,1,-2,-5,-5,-1,1,-61,0,3,-6,0,-3,-5,-7
lga,au-vic,bass coast,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,,0,0,0,1,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,1,1,1,0,-1,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
lga,au-vic,baw baw,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,-1,0,0,0,0,1,-1,1,0,0,0,-3,0,0,-2,0,0,-1,1
lga,au-vic,bayside,,1,-1,0,0,0,,,,0,,,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,,,,,-1,-1,,,1,1,0,0,-1,,1,1,1,-1,1,0,1,-2,2,0,0,4,5,1,1,2,5,3,4,0,0,1,6,4,3,0,2,39,13,2,5,4,-3,-2,6,2,-2,-9,2,7,-3,-1,-1,-13,0,-11,1,-3,1,9,-11
lga,au-vic,benalla,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,,,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,,,,,0,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,boroondara,,0,0,0,0,0,,,,1,0,0,0,0,1,0,0,3,-1,-1,0,-1,-1,0,0,1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,,,0,,,,,-1,0,,,1,0,0,2,1,,2,0,4,0,5,-4,10,-8,11,5,1,3,3,5,3,3,1,2,0,5,1,-7,4,5,0,1,8,1,1,-2,0,-4,0,0,2,-1,1,0,7,2,7,3,-1,-33,-3,-1,-2,-5,-1,-2,-6
