region_schema,region_parent,region_child,agerange,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-05,2020-05-06,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-16,2020-05-19,2020-05-20,2020-05-21,2020-05-24,2020-05-25,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-04,2020-06-10,2020-06-12,2020-06-13,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-21,2020-06-25,2020-06-26,2020-06-29,2020-07-03,2020-07-05,2020-07-06,2020-07-07,2020-07-13,2020-07-15,2020-07-18,2020-07-19,2020-07-21,2020-07-22,2020-07-24,2020-07-25,2020-07-28,2020-08-01,2020-08-02,2020-08-20,2020-08-22,2020-08-23,2020-08-26,2020-08-27,2020-08-28,2020-08-30,2020-08-31,2020-09-03,2020-09-10,2020-09-15
admin_0,,co,,1,2,4,5,7,12,20,28,41,50,69,104,133,172,214,258,294,330,390,448,489,524,564,597,634,662,691,705,726,737,747,756,764,770,775,776,780,782,785,790,791,796,799,805,809,810,811,817,821,822,823,826,830,833,834,836,837,838,841,842,844,845,846,848,851,854,857,858,866,868,870,871,872,873,874,875,879,881,883,884,886,888,891,893,898,899,900,901,905,906,907,908,910,912,913,914,916,917,918,919,921,923,924,925,926,927,928,929,930,931,932,933,935,936,937
admin_1,co,co-ama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,4,5,,6,,9,11,12,,13,16,18,,,,,19,,,,20,,21,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,co,co-ant,,,1,,,,2,4,,5,6,9,15,22,34,42,44,48,51,57,64,69,79,90,95,102,106,110,112,120,,121,122,124,,,,126,,,,,,,,,,,,,,,,,,,,,,127,,129,130,,,,,,,,,131,,,,,,,,,,,,,,133,,,,136,,,,137,,,,138,,,,,139,,,,,,,,,,,140,,
admin_1,co,co-ara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
admin_1,co,co-atl,,,,,,,,,,1,,3,,4,5,7,10,,12,14,18,,,,,,19,,,20,,,,,21,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,1,3,,23,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,
admin_1,co,co-bol,,,,1,,,,,,,,3,4,6,,,1,9,10,,12,,,14,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,co,co-boy,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
admin_1,co,co-cal,,,,,,,,1,,,,,2,3,4,,6,,,,7,,,9,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,12,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,co,co-caq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,co,co-cas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
