region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05
admin_1,co,co-cau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,1,1,,,,,,3,,,3,1,1,3,1,1,1,,,2,3,4,5,2,1,3,6,1,3,2,4,5,2,2,7,3,5,5,4,3,5,2,4,3,5,3,2,3,7,2,2,3,4,5,1,3,3,2,6,1,3,1,3,7,3,1,2,3
admin_1,co,co-ces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,1,,,1,1,,,,,,1,,,,,2,1,,,2,1,1,,,,,,,,,,,,2,1,2,2,2,2,3,,,2,3,3,3,1,4,4,,,4,3,6,6,9,2,2,5,4,7,5,3,8,13,11,8,7,15,11,10,13,10,9,11,16,10,7,11,9,12,6,12,8,9,9,3,2
admin_1,co,co-cho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,5,,,1,1,3,1,2,3,3,2,1,2,,,,,,1,4,2,5,2,4,1,3,4,,,2,2,2,2,3,2,,,4,2,2,1,3,2,3,1,3,1,,,,,2,,,,,1,1,6,4,2,,,,,1,,,1,2,1,,,1,,,,,,,3,1,1,,,1,,,,,1,1,1,2,,,,,,
admin_1,co,co-cor,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,2,,,,,,1,1,,,1,1,2,4,2,4,3,5,5,3,4,7,12,17,6,12,12,20,16,22,28,28,28,24,27,29,39,26,32,30,49,29,35,30,41,47,31,40,31,26,39,41,34,34,26,24,27,29,20,16,23,25,21,19,18,20,13,18,17,19,16,17,10,16,13,12,6,14,13,4,9,5,3,5,3,12,5,2,4,4,1
admin_1,co,co-cun,,,,,2,,,1,1,2,-9,14,-11,26,4,6,5,2,-42,49,5,1,4,6,3,-67,1,73,4,4,-79,86,2,-87,92,-91,100,6,6,8,3,3,-125,133,2,7,3,4,6,7,7,,,2,7,4,3,-187,2,202,10,9,9,5,4,-238,1,1,1,2,280,-276,2,3,5,1,1,2,1,2,1,1,2,392,-391,1,441,24,-464,490,-489,1,1,2,1,1,1,1,1,2,2,3,810,-804,6,2,5,1,3,6,4,3,7,9,10,7,4,13,7,9,10,14,11,8,8,10,10,19,7,15,17,12,12,7,9,12,14,18,17,15,13,13,14,15,19,13,12,11,12,8,10,16,15,13,13,14,15,15,12,14,11,13,12,16,8,17,6,5407
admin_1,co,co-hui,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,1,1,2,2,1,2,3,3,2,2,3,5,5,6,2,3,3,5,7,4,2,3,3,9,4,3,8,6,11,4,5,8,4,4,4,8,11,4,4,
admin_1,co,co-lag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,4,,,,,5,1,2,4,1,7,6,2,1,3,6,1,3,3,4,8,4,4,4,5,4,3,1,4,5,6,4,3,9,,,,,4,3,3,3,5,6,4,2,,,2,2,4,8,3,2,5,3,2,4,6,4,2,6,5,1,2,5,,,1,3,,,4,1,4,1,
admin_1,co,co-mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,1,,,1,1,,,2,3,1,,,,2,1,,,2,1,2,3,3,6,2,1,2,3,4,,,9,3,5,8,4,6,4,8,12,4,5,3,5,8,8,9,9,2,4,2,8,4,4,5,6,6,5,1,5,3,2,5,6,,,8,3,5,4,8,3,2,4,,,5,3,1,2,2,5,1,5,7,6,4,6,3,3,4,3,2,2,3,4,3,2,4,1,,,4,1,,,
admin_1,co,co-met,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,1,2,1,2,,,3,2,,,5,4,4,2,2,2,4,3,4,4,8,6,5,5,6,6,5,8,10,8,8,9,3,7,7,6,4,6,12,13,9,7,10,8,7,7,4,1
admin_1,co,co-nar,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,2,4,1,3,1,,,2,1,2,3,3,3,1,3,5,3,,,3,1,4,4,1,3,1,3,2,7,1,1,1,1,,,,,,3,4,,,,,5,1,3,,,3,1,1,2,1,2,4,1,2,3,2,4,2,5,9,2,8,8,5,6,4,5,5,7,8,3,9,9,8,9,10,5,14,9,12,6,3,5,11,11,11,13,10,9,13,11,8,12,14,7,7,7,7,9,9,1,4,8,8,10,4,10,5,7,11,10,8,7,3,1,2,
admin_1,co,co-nsa,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,2,,,1,4,2,3,2,9,3,7,7,14,6,7,7,20,11,20,11,15,10,18,21,15,23,19,17,17,23,24,21,16,17,17,17,13,22,20,12,12,20,13,13,15,15,11,13,18,9,13,17,7,11,6,9,5,5,
admin_1,co,co-put,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,3,2,3,3,2,4,3,3,4,,,4,,,2,5,2,6,3,,,5,2,8,1,8,2,4,1,2,4,2,3,3,2,,,3,1,,,1,,,,,,,
admin_1,co,co-qui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,2,2,1,1,,,,3,2,,,1,1,2,3,2,1,1,1,,,,,1,
admin_1,co,co-ris,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,2,4,2,3,6,1,4,1,1,5,1,1,,,3,2,2,2,1,4,8,4,2,3,3,6,3,5,4,7,1,3,3,3,2,6,2,1
admin_1,co,co-san,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,1,,,1,2,1,1,3,1,,,2,3,1,4,5,2,5,3,4,3,5,5,8,4,8,5,9,12,12,12,20,13,24,17,19,9,23,29,19,26,21,30,29,23,18,15,21,29,25,21,27,22,34,22,24,23,22,25,16,20,30,14,16,14,16,14,12,3
admin_1,co,co-suc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,3,1,2,5,3,2,4,4,5,7,5,7,12,10,11,9,4,8,4,13,10,6,11,13,15,15,10,14,13,12,8,8,8,15,10,15,8,7,6,12,11,15,4,8,4,8,5,5,7,6,7,6,3,2,4,3,5,2,4,2,7,5,7,5,5,5,8,5,3,4,2,2,4,3,4,2,4,1,3,1,3,,,3,
admin_1,co,co-tol,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,1,1,1,,,,,,,,1,,,,,,,1,,,1,2,,,1,2,2,,,1,3,3,1,2,7,2,1,3,3,6,3,5,4,3,3,3,3,5,2,4,5,3,3,7,3,5,8,8,8,8,6,4,2,8,5,7,9,6,4,2,4,2,5,5,2,2
admin_1,co,co-vac,,,,,,,,,,1,,,1,3,,,,,,,,,21,2,6,5,1,3,4,2,1,3,2,,,,3,-54,58,1,1,3,-62,66,,,2,1,2,-72,2,77,3,4,1,-82,84,3,2,-84,4,6,87,-82,1,98,-94,105,6,-103,116,3,4,4,-113,121,6,-118,1,135,3,-131,139,-134,2,4,150,7,-147,2,169,9,-174,190,9,-197,1,219,3,9,-223,244,-236,260,12,14,-280,2,1,335,-334,357,-356,391,26,27,-433,465,-463,1,542,-539,598,-597,1,1,706,-705,1,2,822,26,-846,899,23,-921,974,29,-1002,1071,27,27,32,21,27,23,-1224,1270,25,15,24,14,24,23,24,21,17,-1455,1496,26,18,25,26,19,13,15,12,8
co_municipality,co-ama,leticia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,,3,5,2,1,,,3,4,8,2,,,,2,4,2,1,1,2,4,3,,,2,2,2,,,6,,,1,,,3,4,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co_municipality,co-ama,puerto nariño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co_municipality,co-ant,andes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co_municipality,co-ant,apartadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,3,1,3,1,3,5,3,3,3,3,3,2,1,1,1,1,4,1,3,1,,,2,3,3,,,,,2,1,,,2,1,1,3,,,1,3,1,,,,,,
co_municipality,co-ant,arboletes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co_municipality,co-ant,barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
co_municipality,co-ant,bello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,1,1,2,3,,,1,2,6,,,3,4,2,5,6,2,1,7,4,3,3,4,6,1,4,4,4,6,,,,,,4,4,1,4,5,4,1,,,2,1,4,3,1,2,,,1
co_municipality,co-ant,caldas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,1,1,,,,,,
co_municipality,co-ant,carepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,1,1,1,1,,,,,
co_municipality,co-ant,caucasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,1,1,2,,,3,2,,,2,3,3,4,1,,,4,4,6,2,2,2,3,3,2,1,3,,,,,1,1,1,,,1,,,,,1,1,2,1,,,,,,
co_municipality,co-ant,chigorodó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,,,,,1,1,,,,,,,1,,,,,,,
co_municipality,co-ant,copacabana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
co_municipality,co-ant,cáceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
