region_schema,region_parent,region_child,agerange,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-16,2020-05-18,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-19,2020-06-21,2020-06-22,2020-06-24,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-03,2020-07-04,2020-07-05,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-23,2020-07-24,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-15,2020-08-16,2020-08-17,2020-08-19,2020-08-21
lga,au-vic,alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lga,au-vic,ararat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
lga,au-vic,ballarat,,8,8,8,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,14,14,14,14,15,15,17,18,17,18,18,19,21,22,23,25,31,31,31,37,47
lga,au-vic,banyule,,82,82,83,84,84,86,86,87,86,87,90,90,89,89,90,90,90,90,90,89,89,89,89,90,90,90,90,90,90,90,90,90,92,93,93,93,95,95,95,95,95,95,95,95,95,96,97,96,98,100,99,103,117,118,124,100,100,102,111,112,125,136,148,154,165,172,180,191,195,206,221,226,234,236,248,254,257,264,271,281,285,295,304,368
lga,au-vic,bass coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,6,6,6,6,6,7,7,7,7,7,7,8,9
lga,au-vic,baw baw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,11
lga,au-vic,bayside,,,30,31,31,31,31,31,31,31,31,31,31,31,30,30,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,32,32,32,33,34,35,34,34,34,35,36,35,36,35,35,36,37,36,36,36,36,36,36,36,37,37,38,38,38,38,38,42,42,43,45,46,46,49,54,56,58,68,68,74,79,93
lga,au-vic,boroondara,,61,61,61,61,61,61,61,63,64,64,65,65,65,65,65,65,65,66,67,67,68,69,69,69,69,70,71,71,71,71,71,71,72,72,72,73,74,74,74,73,73,74,74,74,74,74,75,73,77,76,76,78,81,81,86,79,79,84,85,86,92,95,103,103,106,113,115,116,115,120,119,122,130,135,139,141,141,141,148,151,155,157,159,194
lga,au-vic,brimbank,,38,38,38,42,42,42,45,47,53,53,55,55,56,55,57,59,59,59,60,62,63,63,64,65,65,65,66,66,67,67,67,67,72,72,73,73,74,75,75,76,80,84,83,91,95,96,106,105,131,137,140,147,178,179,208,174,174,188,200,206,232,247,269,290,300,319,336,363,376,450,415,443,491,526,567,597,624,652,704,820,862,932,1021,1397
lga,au-vic,campaspe,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
lga,au-vic,cardinia,,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,19,18,18,18,22,22,22,22,22,22,22,22,23,26,26,28,25,25,28,27,27,27,28,30,31,31,34,35,37,38,43,42,42,43,44,46,46,50,51,52,60,64,68,83,120
lga,au-vic,casey,,52,53,54,54,55,55,55,57,56,56,56,56,56,57,57,57,57,58,58,57,58,58,57,57,61,61,61,61,63,64,65,68,70,70,71,70,72,71,71,72,83,84,85,87,91,98,100,104,107,110,115,116,128,130,132,127,127,132,135,137,145,146,153,160,163,179,186,195,200,221,219,229,249,253,258,272,293,319,329,367,400,419,460,629
lga,au-vic,central goldfields,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lga,au-vic,colac-otway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,2,3,5,5,19,8,10,14,14,16,20,22,23,34,44,49,55,61,85
