region_schema,region_parent,region_child,agerange,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-14,2020-05-19,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-22,2020-06-27,2020-06-28,2020-07-01,2020-07-04,2020-07-05,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-16,2020-08-17
lga,au-vic,alpine,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
lga,au-vic,ararat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
lga,au-vic,ballarat,,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,-1,0,0,0,0,1,0,0,1,-1,3,0,-1,3,2,1,1
lga,au-vic,banyule,,1,-1,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,1,0,-1,0,0,0,0,0,1,-1,1,2,3,2,3,0,17,-2,8,-1,-2,-7,0,0,-3,5,0,-10,-3,-1,-7,-3,0,-7,-3,-5,-5
lga,au-vic,bass coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,-1,0,0,1,0,1,1,1,0,-1,-1,0,0,0,-1,0,0,0,0
lga,au-vic,baw baw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,0
lga,au-vic,bayside,,,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,-1,1,0,-1,1,0,2,0,0,4,5,1,5,0,0,1,6,4,3,0,2,39,5,4,-3,-2,6,2,7,-3
lga,au-vic,boroondara,,0,0,0,0,0,1,0,0,1,0,0,3,-1,-1,0,-1,-1,0,0,1,-1,0,0,0,0,0,0,0,-1,0,-1,0,1,1,2,1,1,1,1,0,4,3,5,1,5,1,-7,4,5,0,0,9,1,0,-4,0,0,2,-1,2,7
lga,au-vic,brimbank,,3,1,-3,0,0,1,2,1,1,-2,-2,1,2,-3,-1,2,0,0,-1,0,0,0,-1,0,0,0,1,0,0,1,2,7,3,-5,10,-3,5,7,15,0,14,19,18,25,11,45,32,48,7,26,0,65,0,36,14,15,-1,6,10,-25,-47
lga,au-vic,campaspe,,,,,,,,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lga,au-vic,cardinia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-1,0,0,-1,0,0,0,0,0,1,0,3,2,1,2,4,1,-3,10,-1,2,0,11,5,6,8,2,1,8,6,-2,-1
lga,au-vic,casey,,-1,-1,0,-1,0,0,0,0,-1,0,0,0,2,4,1,1,1,1,0,-2,-2,1,-2,-1,0,-3,2,0,2,0,-1,0,0,1,-1,1,-2,0,0,0,24,8,25,14,21,7,1,37,20,19,0,35,13,13,6,8,-3,-10,12,-23,-10
lga,au-vic,central goldfields,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lga,au-vic,colac-otway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,17,3,4,0,22,2,-2,0,13,-2,0,0,-3,-2,-2,-11,-7,-6
lga,au-vic,corangamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
