region_schema,region_parent,region_child,agerange,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-16,2020-05-18,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-19,2020-06-21,2020-06-22,2020-06-24,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-03,2020-07-04,2020-07-05,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-23,2020-07-24,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-15,2020-08-16,2020-08-17,2020-08-19,2020-08-21
lga,au-vic,alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lga,au-vic,ararat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
lga,au-vic,ballarat,,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,9,9,11,11,11,10,10,10,10,10,11,11,11,12,16,15,18,18,17,20,22,26,27,28,22,13
lga,au-vic,banyule,,4,5,4,3,3,2,2,2,3,3,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,3,2,1,1,1,0,0,0,0,0,0,0,2,3,3,2,3,6,8,11,13,19,22,38,107,107,124,122,130,140,139,153,151,144,144,144,141,146,146,136,133,148,147,140,137,137,130,127,127,122,117,117,55
lga,au-vic,bass coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,1,1,1,2,2,3,4,5,5,4,3,4,4,4,4,3,3,3,3,3,3,3,2
lga,au-vic,baw baw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,6,5,5,5,5,5,6,6,6,3
lga,au-vic,bayside,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,0,0,1,2,2,1,1,2,2,4,4,4,3,5,5,9,14,15,18,23,30,30,30,31,37,41,44,44,46,85,100,105,109,106,104,110,112,103,110,107,105,89
lga,au-vic,boroondara,,4,4,4,4,4,4,4,2,2,3,3,3,3,4,4,4,7,6,5,5,4,3,3,3,4,3,2,2,2,2,2,2,1,1,1,0,0,1,1,2,1,0,0,1,2,2,3,5,6,7,8,9,12,13,15,31,31,35,38,43,49,50,52,57,58,51,55,60,60,60,69,70,69,69,65,65,65,67,66,74,76,83,85,52
lga,au-vic,brimbank,,15,18,19,16,16,17,17,14,7,8,8,10,11,12,10,8,9,11,8,7,9,9,9,8,8,8,7,7,6,6,6,6,1,2,2,2,3,10,11,20,19,21,28,33,36,51,46,56,55,52,57,64,77,92,107,238,238,252,271,289,411,436,515,526,571,603,651,658,684,684,749,749,813,849,863,878,877,883,893,856,831,784,743,478
lga,au-vic,campaspe,,,,,,,,,,,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1
