region_schema,region_parent,region_child,agerange,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19
admin_1,hr,hr-01,,3,0,1,-2,1,-2,7,-1,-2,-1,0,3,-1,1,3,0,-1,0,-7,1,-13,-1,-1,-4,0,0,-2,-3,-1,0,-1,0,0,-2,0,3,0,-2,5,10,2,9,6,3,10,6,13,5,19,-3,-6,-4,4,2,-3,9,1,-3,-17,21,9,0,10,-2,-3,3,-4,0,-6,10,-9,-9,-3,1,-3,2,7,-7,-4,1,-18,1,6,11,-2,-10,12,-10,3,8,-2,16,4,33,27,13,13,-10,4,38,16,54,59,18,-15,52,68,64,47,131,166,-16,9,94,120,40,139,5,-138,-96,50,40,-28,54,-31,8,-17,31,67,-35,180,117,42,126,118,-81,-52,-163,0,-119,-55,-114,0,-147,-18,287,363,410,294,201,-209,-47,180,11,-10
admin_1,hr,hr-02,,0,0,0,1,0,0,1,1,1,0,3,-1,-1,-1,0,0,0,0,-2,0,3,-1,0,-1,0,1,0,-2,0,0,-1,-1,0,-2,1,0,0,0,1,1,2,2,1,1,1,2,0,1,3,1,-1,1,3,2,-2,6,6,1,-1,-4,8,2,5,-2,2,1,0,0,-1,-2,1,-1,-3,9,0,2,1,5,4,2,-4,-4,3,5,2,-8,2,25,1,-6,16,4,14,24,13,-2,28,-2,-8,11,51,44,80,47,-14,2,-22,81,-6,48,87,-2,3,-5,50,78,42,14,-64,-75,15,50,69,-89,16,-63,-18,13,27,-21,77,126,2,15,85,2,-42,29,0,-96,67,106,0,-31,-150,77,146,-52,-41,-7,-97,-99,-15,-33,-153
admin_1,hr,hr-03,,3,4,2,8,0,5,-2,-1,-1,1,1,-1,-1,0,-2,-5,-3,0,-5,-1,-3,7,0,1,0,-2,0,0,0,-1,0,-1,-3,0,-3,0,-3,1,-1,3,0,5,0,-1,11,0,2,1,5,2,4,5,1,10,-2,2,-6,-6,-2,11,6,1,6,-2,-4,2,-4,1,-7,-1,-1,-4,-1,-3,-2,-4,-1,-2,-9,0,-14,2,1,2,0,0,11,51,21,5,-3,3,35,20,5,5,-25,-23,4,-4,18,-3,17,7,-5,9,-7,40,17,21,75,-22,40,34,24,49,-32,38,-50,38,-22,-56,69,-57,123,-58,-13,0,33,-39,116,-34,-19,16,135,-32,24,-27,0,78,96,33,0,-113,-9,93,-15,145,-53,53,-92,-18,-42,5,-19
admin_1,hr,hr-04,,0,0,1,1,5,0,1,2,1,2,12,-3,-1,2,-3,-2,-1,0,2,0,-12,-6,-1,-8,-1,0,-1,2,0,0,-3,1,-2,0,0,1,1,1,2,5,0,7,1,-1,5,14,5,0,-4,-5,-2,4,-2,-5,-3,-4,-4,-4,-4,0,2,1,4,1,-1,4,2,5,-1,7,-1,-3,1,3,11,-7,7,16,-1,5,-9,4,3,3,-12,-12,3,1,-7,3,-2,-12,14,5,8,8,16,-9,5,25,27,28,8,11,-17,0,18,10,-9,23,95,-13,12,17,20,20,-5,-21,-51,1,16,11,28,-15,4,-39,10,27,4,-10,49,-9,24,20,-8,-52,36,19,0,12,73,77,0,-126,23,22,-3,-23,-58,1,-40,11,-8,-2,-10
admin_1,hr,hr-05,,0,1,0,1,1,0,0,-1,1,0,1,-1,0,-1,0,-2,0,0,1,0,1,-1,1,2,-1,0,2,0,0,-2,-1,0,1,-1,0,0,-1,1,1,0,3,2,0,1,1,6,4,1,14,7,0,-4,8,0,7,-2,1,-1,-7,-2,-5,-2,-5,0,-2,-9,3,-1,-2,5,1,-3,0,-1,-3,1,-2,-4,-2,-4,-2,-2,2,1,3,-1,1,0,3,4,1,-6,15,12,17,5,-3,23,11,20,14,41,45,-15,-16,46,44,44,63,55,47,6,-37,88,76,57,33,25,94,67,36,187,114,100,103,54,-61,14,12,-67,24,74,38,-71,46,63,-2,-39,0,-33,20,-43,0,-19,-70,115,20,-69,-35,-57,-120,-136,6,-10,-61
admin_1,hr,hr-06,,-1,0,0,-1,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,-1,0,-2,0,0,0,0,0,-2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,3,1,6,3,-1,2,6,0,2,-2,2,0,-1,4,2,-4,9,0,-1,-1,7,-1,2,1,-1,-7,-5,-5,-5,-7,-3,0,-1,-3,-3,2,0,3,5,-1,3,2,-4,10,-3,-1,0,-1,2,-2,2,-9,-2,6,10,9,4,5,-2,-2,38,9,3,37,5,-4,2,61,29,-27,51,-21,-5,9,37,-22,15,21,31,-34,-12,27,38,20,70,31,-6,74,66,-126,24,-163,0,-60,170,83,0,-99,3,55,85,0,-31,-114,-108,0,-13,70,-31
admin_1,hr,hr-07,,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,-1,1,0,3,1,-1,6,2,0,0,2,0,2,-1,0,0,-4,-3,-2,-3,0,-2,0,-1,0,0,3,0,-1,1,3,1,0,2,-1,1,-1,1,0,-2,3,-1,-1,1,2,3,6,34,-2,-3,5,5,13,-1,7,8,-5,-9,2,-13,-1,3,8,-7,-1,-31,-9,6,-4,2,-6,8,6,3,0,-2,3,-2,10,3,2,13,-7,1,3,5,4,19,1,-2,-7,29,9,38,29,61,49,-9,17,4,-4,-3,27,-9,-50,-24,-7,-4,-18,-36,35,-22,16,-4,-34,24,56,-25,-29,32,36,-6,6,0,-16,50,28,0,40,-71,41,14,2,33,59,8,-72,10,-25,-27
admin_1,hr,hr-08,,2,1,6,-2,-5,0,-2,1,1,0,0,11,-7,1,3,0,-2,0,-3,0,1,0,-8,-5,1,-7,-1,-2,0,0,-1,0,-1,-1,3,0,5,3,5,1,6,1,4,0,6,-1,5,-4,1,5,0,2,11,1,12,13,2,-2,5,18,4,12,6,-10,-1,-11,6,2,2,-5,4,-10,-7,-2,-4,-2,-10,-5,1,2,-21,16,40,6,8,-9,-1,14,-39,-1,-9,0,8,6,7,-2,-17,-14,14,18,0,20,16,5,-11,50,53,49,57,53,103,-3,61,141,116,88,30,15,-105,9,105,52,2,-49,42,-16,30,103,29,28,86,137,-44,27,133,-116,42,-210,0,-2,174,238,0,-95,54,243,55,-1,60,136,-357,-86,178,102,-167
admin_1,hr,hr-09,,1,1,0,1,0,1,1,0,0,0,-1,0,0,-3,0,-1,1,0,-1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,1,0,0,-2,1,2,4,1,2,1,-2,3,-3,4,1,0,2,-1,2,0,3,4,1,1,3,4,0,1,-2,4,-3,1,1,0,-3,6,0,2,-1,-2,-3,-1,2,-8,-8,3,-2,4,7,0,21,-4,2,-3,0,3,-2,-9,7,0,47,11,3,-7,2,7,4,14,-11,-25,-2,-6,29,3,11,-1,5,-18,-6,7,-14,-10,-5,0,-6,-4,39,2,12,45,-25,40,17,24,25,-10,-30,0,-39,17,43,0,2,-8,4,35,20,-17,-29,-40,-25,-4,0,-36
admin_1,hr,hr-10,,1,0,0,0,1,0,1,3,0,-1,3,1,2,-1,-2,0,0,0,0,1,-6,1,2,2,-3,2,-1,0,0,0,0,0,-1,0,-1,-2,-2,-1,0,0,0,0,2,1,1,2,4,2,0,3,0,1,-1,6,0,8,1,-2,1,-2,3,0,4,4,1,3,-1,8,-4,14,7,1,-2,1,0,0,3,-1,-9,-7,-26,2,4,9,4,-6,7,-9,-5,-2,4,1,0,8,5,14,23,-1,5,-8,16,7,13,17,-14,10,-7,-22,51,-16,38,-20,17,-3,15,33,12,-3,-12,-30,-17,41,13,-5,-12,-1,-21,-16,35,-5,3,22,19,17,2,23,-10,61,0,7,-36,17,0,-8,-24,-44,8,8,9,17,3,-60,-21,19,42
