region_schema,region_parent,region_child,agerange,2020-03-13,2020-03-14,2020-03-15,2020-03-17,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26
admin_0,,co,,1,2,3,4,5,6,9,12,20,31,43,59,77,110,139,174,201,234,267,303,342,361,385,412,454,497,545,600,695,791,870,967,1044,1095,1151,1224,1306,1390,1478,1582,1668,1771,1865,1955,2065,2194,2255,2368,2501,2600,2748,3044,3266,3424,3583,3784,3946,4193,4331,4562,4700,4909,5127,5281,5484,5683,5946,6232,6506,6729,7039,7318,7679,8026,8396,8761,9002,10740,11126,12483,13510,14176,15056,15552,16495,17508,18050,19112,19760,20628,21332,21789,22135,22646,23640,24743,26014,27398,28975,30302,31710,33297,35256,37243,38700,40522,42283,44474,46140,47545,48929,50403,51734,54407,56405,58387,61025,63852,66221,68163,70754,73520,76584,80320,84252,88908,93529,96790,99532,101876,107051,111978,117832,122422,129707,136219,142610,148828,155000,162054,168493,175011,181610,187500,193352,199305,205177,213088,221206,230058,239438,250043,260476,273642,286239,300346,311014,324746,337842,347835,358819,373063,383692,395622,407126
admin_1,co,archipiélago de san andrés providencia y santa catalina,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,8,10,,11,,,,,,,15,,,,,17,,,,,,,,,,,,,,,,,,,,18,21,,,,,,,,,,,,,,,23,,,,,,,,,,24,,25,28,,,,,29,,,,30,,32,,,,33,,,,34,,,38,40,41,42,,46,49,51,53,59,62,71
admin_1,co,barranquilla d.e.,,,,,,,,,,,2,3,,4,5,6,10,11,,16,18,22,,23,,27,,,,28,,,,30,31,,35,36,,38,,42,,45,46,47,,,,49,50,52,58,71,74,78,80,83,88,89,94,101,117,119,122,134,141,154,180,193,207,224,242,268,293,328,346,363,443,506,582,651,711,812,862,976,1101,1142,1205,1256,1341,1392,1432,1467,1503,1561,1681,1807,1942,2130,2270,2486,2676,2961,3314,3556,3761,4054,4387,4677,4883,5087,5274,5451,5820,6216,6575,7077,7662,8075,8467,8948,9475,10134,10737,11531,12609,13822,14424,14753,15171,16081,16401,17627,18180,19235,19822,20472,21398,21843,22400,22848,23371,23989,24254,24677,25090,25484,25960,26403,26729,26965,27300,28034,28477,28804,29220,29472,29734,30344,30614,30804,31017,31276,31567,31743
admin_1,co,buenaventura d.e.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,5,,,6,,,7,8,,10,12,,13,,,,15,,16,,,17,22,23,,24,,,26,29,,33,34,43,50,61,66,75,80,83,104,165,174,183,204,217,224,228,232,,246,263,290,299,353,378,415,434,475,553,565,681,702,733,758,809,824,837,854,890,899,938,961,976,1022,1037,1056,1064,1086,1103,1130,1184,1209,1259,1272,1293,1317,1351,1406,1428,1473,1501,1530,1552,1572,1588,1607,1648,1665,1704,1718,1732,1748,1756,1778,1784,1786,1804,1818,1853,1873,1888,1900,1912,1916,1926,1938,1957,1975,1992,2007
admin_1,co,cartagena d.t. y c.,,,,,1,,,,,,,4,,6,7,9,,,,,10,11,,12,13,23,24,27,28,29,35,41,50,58,62,,65,70,78,82,85,94,97,99,102,104,113,114,117,121,122,125,129,133,138,148,150,156,170,174,184,187,198,205,222,246,266,305,331,387,419,455,482,512,558,604,684,741,821,861,974,1073,1157,1237,1281,1381,1466,1511,1585,1634,1688,1738,1776,1791,1839,1983,2138,2274,2452,2688,2814,3012,3147,3429,3676,3817,3997,4190,4363,4500,4649,4776,4989,5127,5429,5638,5786,6025,6263,6466,6653,6861,7022,7288,7585,7937,8336,8710,8916,9062,9204,9555,9701,10112,10386,10745,10960,11344,11700,11935,12267,12447,12658,12925,13132,13403,13583,13822,14061,14260,14392,14592,14725,14969,15269,15455,15651,15793,16040,16350,16492,16648,17120,17313,17525,17734
admin_1,co,co-ama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,12,23,26,28,29,,33,36,,39,52,77,78,81,88,106,112,139,159,162,165,209,243,295,325,327,410,418,548,748,854,909,934,1015,1064,1076,1191,1227,1282,1292,1338,1341,1346,1434,1470,1516,1545,1599,1705,1725,1759,1785,1809,1830,1833,1857,1884,1900,1939,1946,1981,2012,2057,2079,2089,2098,2131,2138,2154,2160,2165,2198,2223,2239,2255,2262,2264,2266,,2274,2283,2289,2294,2301,2306,2313,2329,2336,2343,2350,2351,2355,2357,2360,2365,,2366,2379,2380,2384,2387,2398,2403,2416,2429,2435,2465,2489,2508,2516,2518,2531,2539,2542
admin_1,co,co-ant,,,,1,,,,,,3,5,9,12,,16,24,32,40,47,52,61,68,73,78,89,93,97,102,106,108,116,124,126,127,133,137,150,159,167,173,184,190,198,207,213,224,232,237,241,246,250,254,269,275,283,303,319,327,347,350,360,361,371,376,381,386,387,391,396,400,406,422,435,447,449,457,464,471,501,512,536,557,581,632,649,676,685,750,781,814,848,884,902,925,935,959,1024,1067,1119,1166,1252,1295,1404,1491,1573,1654,1712,1860,1981,2114,2206,2274,2346,2401,2506,2587,2686,2840,2965,3090,3159,3263,3388,3528,3723,3887,4068,4488,4696,4988,5194,5566,6137,6513,6917,7398,8004,8720,9270,10203,11030,11908,13238,14429,15751,16928,18405,19654,22013,23605,24616,25878,27709,29703,32610,35166,37841,39757,42658,45236,46917,48394,49877,51473,53239,54702
admin_1,co,co-ara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,7,,8,,,9,,10,13,15,19,20,27,,30,65,67,74,77,81,82,84,,85,96,98,101,102,,111,,134,138,146,148,158,161,164,168,170,175,180,183,195,199,204,215,226,246,312,318,341,365,379,409,425,454,502,524
admin_1,co,co-atl,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,5,7,,8,,9,,13,14,15,,17,,20,,,,,22,23,,,25,,28,29,30,,33,36,,38,51,64,69,78,90,117,137,162,198,213,231,251,280,299,343,374,389,413,426,565,626,741,821,862,967,1003,1107,1250,1265,1313,1363,1462,1541,1567,1591,1624,1697,1794,1882,1983,2153,2244,2420,2567,2751,3013,3192,3361,3572,3849,4064,4222,4421,4601,4746,4993,5259,5498,5894,6303,6616,6881,7265,7717,8190,8675,9195,9841,10426,10889,11294,11554,12077,12422,13047,13495,14084,14463,14972,15525,15976,16457,17026,17333,17641,18028,18273,18554,18807,19070,19478,19816,19973,20167,20546,20912,21234,21652,22022,22371,22714,22915,23158,23434,23762,23995,24215
admin_1,co,co-bol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,6,,,,,,7,,,,8,,9,,11,12,,13,16,17,19,20,,21,22,23,24,26,29,32,34,38,39,,41,43,44,,48,51,54,60,66,72,81,83,86,96,98,107,114,120,136,149,153,162,168,178,182,183,186,194,198,206,212,218,230,240,255,277,293,300,316,343,380,404,429,460,467,500,546,590,605,639,665,675,692,731,757,797,840,874,907,949,981,1036,1051,1108,1127,1170,1188,1228,1255,1295,1352,1385,1436,1463,1506,1553,1598,1663,1759,1825,1910,1955,1990,2035,2098,2247,2378,2435,2520,2588,2633,2814,2892,2943,3031,3174,3248,3318
