region_schema,region_parent,region_child,agerange,2020-03-28,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-16,2020-05-18,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-19,2020-06-21,2020-06-22,2020-06-24,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-03,2020-07-04,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-23,2020-07-24,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-15,2020-08-16,2020-08-17,2020-08-19,2020-08-21
lga,au-vic,alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
lga,au-vic,ararat,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
lga,au-vic,ballarat,,5,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,19,20,20,23,23,24,24,24,24,24,25,26,28,29,29,34,33,37,39,39,43,47,57,58,59,59,60
lga,au-vic,banyule,,21,44,48,53,62,64,67,72,72,73,75,77,80,80,80,79,80,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,84,85,86,86,87,87,87,87,88,88,89,89,90,91,91,91,91,91,91,91,91,91,90,90,90,91,91,91,91,91,91,91,92,93,93,94,94,94,94,95,95,95,95,95,95,95,97,98,99,99,99,104,108,110,116,136,140,162,162,207,207,226,233,242,265,275,301,305,309,316,324,332,341,352,357,359,382,383,388,391,394,394,398,408,407,412,421,424
lga,au-vic,bass coast,,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,6,6,6,7,7,8,9,10,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11
lga,au-vic,baw baw,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,12,13,14,14,14,14
lga,au-vic,bayside,,18,22,22,25,25,26,26,27,27,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,33,33,33,33,34,34,34,34,34,34,35,35,36,36,36,37,37,38,39,39,40,40,40,41,41,45,50,51,54,59,67,67,68,69,75,79,82,86,88,128,145,151,155,155,158,166,170,171,178,181,184,185
lga,au-vic,benalla,,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
lga,au-vic,boroondara,,28,46,48,52,54,56,57,58,58,58,59,59,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,62,62,64,64,64,64,65,65,65,65,65,65,65,65,65,65,66,67,68,68,68,69,69,69,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,74,75,75,75,74,74,74,75,76,76,78,78,83,83,84,87,93,94,101,101,110,110,119,123,129,141,145,155,160,164,164,170,176,175,180,188,192,199,204,204,206,206,208,214,225,231,240,244,246
lga,au-vic,brimbank,,12,19,23,27,26,26,27,28,28,28,28,29,30,31,31,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,34,41,45,49,53,56,57,58,58,59,62,61,60,61,63,65,67,67,67,67,68,70,68,69,72,72,73,73,73,73,73,73,73,73,73,73,73,74,75,75,77,85,86,96,99,105,111,124,131,147,152,161,186,189,197,211,255,271,315,315,412,412,440,471,495,643,683,784,816,871,922,987,1021,1060,1134,1164,1192,1304,1375,1430,1475,1501,1535,1597,1676,1693,1716,1764,1799
