region_schema,region_parent,region_child,agerange,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-27,2020-06-23,2020-06-25,2020-12-04
admin_1,af,af-bal,,1,1,1,1,1,1052,970,125
admin_1,af,af-bam,,,,,,,289,276,12
admin_1,af,af-bdg,,1,1,1,1,1,219,227,12
admin_1,af,af-bds,,,,,,,142,155,20
admin_1,af,af-bgl,,,,,,,352,343,33
admin_1,af,af-fra,,2,2,2,2,5,218,215,15
admin_1,af,af-fyb,,,,,,,70,70,19
admin_1,af,af-gha,,1,1,1,1,1,243,243,70
admin_1,af,af-gho,,1,1,1,1,2,45,45,13
admin_1,af,af-hel,,,,,,,49,48,30
admin_1,af,af-her,,21,21,53,57,68,2870,2603,312
admin_1,af,af-jow,,,,,,,107,107,6
admin_1,af,af-kab,,2,2,2,7,7,8155,8223,651
admin_1,af,af-kan,,1,1,1,1,1,1016,1016,48
admin_1,af,af-kap,,1,1,1,1,1,120,117,15
admin_1,af,af-kdz,,,,,,,332,303,30
admin_1,af,af-kho,,,,,,,278,278,40
admin_1,af,af-knr,,,,,,,229,239,19
admin_1,af,af-lag,,,,,,,219,222,5
admin_1,af,af-log,,1,2,2,3,3,317,313,29
admin_1,af,af-nan,,,,,,,978,944,111
admin_1,af,af-nim,,,,,3,3,158,158,13
admin_1,af,af-nur,,,,,,,54,54,
admin_1,af,af-par,,,,,,,233,235,23
admin_1,af,af-pia,,,,,,,36,35,6
admin_1,af,af-pka,,,,,,,776,776,
admin_1,af,af-sam,,3,4,4,4,4,73,30,16
admin_1,af,af-sar,,,,,,,58,25,6
admin_1,af,af-tak,,,,,,,570,605,55
admin_1,af,af-uru,,,,,,,24,24,4
admin_1,af,af-war,,,,,,,75,88,20
admin_1,af,af-zab,,2,2,2,2,2,49,49,15
