region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25
admin_1,af,af-bal,,0,0,0
admin_1,af,af-bdg,,0,0,0
admin_1,af,af-fra,,0,0,0
admin_1,af,af-gha,,0,0,0
admin_1,af,af-gho,,0,0,0
admin_1,af,af-her,,0,32,4
admin_1,af,af-kab,,0,0,5
admin_1,af,af-kan,,0,0,0
admin_1,af,af-kap,,0,0,0
admin_1,af,af-log,,1,0,1
admin_1,af,af-sam,,1,0,0
admin_1,af,af-zab,,0,0,0
