month,seek
2020-04,62
2020-05,525
2020-06,1509
2020-07,2497
2020-08,3523
2020-09,4559
2020-10,5516
2020-11,6462
2020-12,7430
2021-01,8316
2021-02,9293
2021-03,10234
2021-04,11263
2021-05,12226
2021-06,13261
2021-07,14218
2021-08,15175
2021-09,16194
2021-10,17112
2021-11,18098
2021-12,19084
2022-01,20070
