region_schema,region_parent,region_child,agerange,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01
admin_0,,gb,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,7,7,9,10,28,43,65,81,115,158,194,250,285,359,508,695,878,1162,1456,1670,2044,2426,3096,3748,4462,5222,5866,6434,7472,8506,9616,10768,11608,12294,13038,14085,14927,15956,16892,18007,18505,19064,20237,21074,21801,22807,23650,24070,24408,25319,26114,26788,27528,28149,28464,28752,29446,30098,30638,31265,31610,31879,32090,32720,33216,33644,34028,34508,34678,34838,35386,35755,36093,36451,36734,37175,37297,37433,37876,38292,38665,38895,39010,39121,39447,39812,39989,40347,40554,40631,40686,40975,41225,41377,41581,41764,41800,41838,42074,42258,42395,42568,42698,42741,42756,42927,43081,43230,43414,43514,43550,43575,43730,43906,43995,44131,44198,44220,44236,44391,44517,44602,44650,44798,44819,44830,44968,45053,45119,45233,45273,45301,45312,45422,45501,45554,45677,45738,45752,45759,45878,45961,45999,46119,46193
admin_1,gb,gb-eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,3,7,7,9,10,28,42,64,79,112,154,186,240,264,331,474,652,821,1093,1372,1567,1920,2288,2901,3504,4159,4848,5426,5958,6968,7892,8886,9924,10670,11276,11970,12983,13715,14622,15449,16460,16844,17383,18506,19245,19848,20673,21414,21757,22064,22935,23567,24127,24781,25300,25546,25803,26460,27030,27455,27991,28274,28491,28682,29288,29703,30058,30394,30795,30908,31052,31575,31894,32168,32475,32725,33142,33247,33364,33778,34165,34514,34712,34793,34889,35206,35540,35690,36034,36216,36281,36333,36613,36847,36981,37169,37342,37368,37401,37629,37797,37919,38086,38208,38247,38261,38427,38568,38706,38888,38982,39015,39036,39187,39354,39434,39567,39626,39647,39663,39815,39936,40018,40066,40213,40234,40245,40379,40462,40528,40640,40680,40707,40718,40828,40906,40959,41082,41143,41156,41163,41282,41360,41398,41512,41584
admin_1,gb,gb-nir,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,3,4,9,11,15,17,20,28,32,36,41,45,55,65,74,85,91,99,103,121,132,143,159,166,178,194,205,214,224,234,246,259,278,294,305,320,334,347,353,367,375,387,399,410,419,425,428,431,437,444,454,456,460,463,473,476,480,487,494,499,504,508,509,511,518,519,520,524,527,528,530,531,532,534,536,,537,537,537,537,537,537,539,540,541,541,541,542,543,544,545,545,545,546,547,547,548,550,549,550,551,551,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,gb,gb-sct,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,6,7,10,14,16,22,25,33,40,41,47,69,97,126,172,218,220,222,296,366,447,495,542,566,575,615,699,779,837,893,903,915,985,1062,1120,1184,1231,1249,1262,1332,1415,1475,1515,1559,1571,1576,1620,1703,1762,1811,1847,1857,1862,1912,1973,2007,2053,2094,2103,2105,2134,2184,2221,2245,2261,2270,2273,2291,2304,2316,2331,2353,2362,2363,2375,2386,2395,2409,2415,2415,2415,2422,2434,2439,2442,2447,2448,2448,2453,2462,2464,2470,2472,2472,2472,2476,2480,2482,2482,2482,2482,2482,2485,2486,2487,2488,2488,2488,2488,2489,2490,2490,2490,2490,2490,2490,2490,2490,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,
admin_1,gb,gb-wls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,8,15,20,24,33,43,54,64,79,97,113,128,149,177,206,237,267,287,319,361,404,429,460,497,540,566,604,639,668,700,726,751,781,804,822,853,882,898,914,929,955,971,1000,1014,1028,1051,1068,1091,1110,1123,1130,1140,1155,1166,1182,1194,1210,1223,1234,1244,1255,1262,1271,1281,1288,1300,1310,1320,1326,1342,1353,1363,1370,1379,1384,1391,1403,1407,1416,1424,1431,1435,1442,1447,1451,1457,1464,1470,1478,1479,1479,1483,1486,1491,1493,1494,1500,1509,1511,1517,1519,1522,1526,1530,1533,1533,1535,1537,1539,1540,1541,1542,1542,1543,1543,1545,1546,1546,1547,1547,1547,1547,1547,1548,1549,1549,1550,1552,1554,1555,1557,1561,1562,1562,
